game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,group,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,on_3b_x,on_2b_x,on_1b_x,outs_when_up_x,on_3b_y,on_2b_y,on_1b_y,outs_when_up_y,team_x,ba_x,ops_x,ld_percent_x,gb_percent_x,fb_percent_x,bb_percent_x,k_percent_x,team_y,ba_y,ops_y,ld_percent_y,gb_percent_y,fb_percent_y,bb_percent_y,k_percent_y,pitch_type_grouped,pitch_type_encoded,pitch_type_binary,runners_on,outs_remaining,late_game,high_leverage_score,high_leverage_situation,previous_pitch_1,previous_pitch_2,previous_pitch_3,previous_pitch_4,previous_pitch_1_encoded,previous_pitch_2_encoded,previous_pitch_3_encoded,previous_pitch_4_encoded,prev_pitch_outcome_grouped,prev_pitch_outcome_encoded,rolling_pitch_freq,batter_rolling_avg,pitcher_hand_encoded,batter_hand_encoded,log_rolling_pitch_freq,count_encoded,pitch_1_count_interaction,pitcher_batter_matchup
746026,2024-08-10,1,Top,682610,595777,SL,85.5,2126.0,-1.85,54.44,5.94,0.51,-0.49,-0.54,2.09,7.0,,foul,67.5,16.0,129.0,85.3,23.0,9307,1,2,,,650333.0,0.0,,,,,,,,,SDP,0.28,0.839,0.198,0.422,0.379,0.114,0.151,SDP,0.28,0.839,0.198,0.422,0.379,0.114,0.151,SL,6,0,True,3.0,0,0.7500000000000001,1,3,1,3,2,4,2,4,3,Foul,3,0.0070921985815602835,0.2,1,0,0.0070671672230924526,5,20,0
745555,2024-06-30,5,Top,624133,669394,FC,86.6,1944.0,1.92,54.19,6.02,-0.22,0.28,-1.15,3.07,11.0,,ball,,,,86.7,164.0,29278,1,0,,605137.0,,0.0,,,,,,,,,MIA,0.25,0.76,0.152,0.442,0.406,0.054,0.259,MIA,0.25,0.76,0.152,0.442,0.406,0.054,0.259,FC,2,1,True,3.0,0,0.7500000000000001,1,1,2,1,3,2,3,2,4,Batted_Ball,1,0.0851063829787234,0.0,0,1,0.08167803101426718,3,6,0
746838,2024-08-18,3,Top,684007,676391,CH,80.0,1648.0,2.34,54.17,5.73,0.86,0.96,-0.2,0.59,13.0,field_out,hit_into_play,34.1,-65.0,0.0,80.2,115.0,17615,1,2,,,543807.0,0.0,,,,,,,,,TOR,0.263,0.692,0.201,0.382,0.417,0.024,0.091,TOR,0.263,0.692,0.201,0.382,0.417,0.024,0.091,CH,1,0,True,3.0,0,0.7500000000000001,1,1,3,3,3,2,4,4,4,Ball,0,0.04964539007092199,0.0,0,1,0.04845238338594679,5,10,0
746755,2024-08-27,9,Bot,489446,666150,FS,86.1,979.0,-2.4,54.41,5.43,-1.0,-0.1,-1.44,1.4,13.0,,ball,,,,85.6,264.0,26658,2,2,,,,1.0,,,,,,,,,CHW,0.206,0.508,0.224,0.442,0.333,0.046,0.241,CHW,0.206,0.508,0.224,0.442,0.333,0.046,0.241,Other,4,0,False,2.0,1,0.48076923076923084,0,4,3,3,3,5,4,4,4,Ball,0,0.02836879432624113,0.1,1,0,0.02797385204240612,8,40,0
745503,2024-05-21,1,Bot,657277,668804,SI,92.0,2011.0,-1.35,53.55,4.97,-1.14,0.04,-0.43,3.09,1.0,,foul,79.5,0.0,42.0,92.9,235.0,19938,2,2,,,,1.0,,,,,,,,,PIT,0.275,0.791,0.22,0.458,0.322,0.082,0.225,PIT,0.275,0.791,0.22,0.458,0.322,0.082,0.225,SI,5,1,False,2.0,0,0.2307692307692308,0,7,5,5,1,8,6,6,2,Strike,6,0.02836879432624113,0.0,1,0,0.02797385204240612,8,64,0
746767,2024-07-26,2,Top,694363,571745,SL,84.7,2211.0,1.44,53.84,5.63,-0.17,0.5,-0.34,1.79,7.0,strikeout,called_strike,,,,85.8,162.0,22042,3,3,,,,1.0,,,,,,,,,SEA,0.208,0.62,0.212,0.424,0.365,0.095,0.298,SEA,0.208,0.62,0.212,0.424,0.365,0.095,0.298,SL,6,0,False,2.0,0,0.2307692307692308,0,3,1,1,1,4,2,2,2,Foul,3,0.0070921985815602835,0.0,0,1,0.0070671672230924526,0,0,0
745695,2024-09-12,6,Bot,592155,691176,FF,95.4,2202.0,2.63,54.04,5.98,0.77,1.5,-0.39,1.4,7.0,walk,ball,,,,95.3,151.0,11364,4,1,,669224.0,665862.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,FF,3,1,True,2.0,0,0.5192307692307693,1,3,2,2,3,4,3,3,4,Ball,0,0.06382978723404255,0.0,0,1,0.06187540371808747,13,52,0
746935,2024-07-11,3,Top,656557,609280,ST,83.7,2652.0,-2.28,54.46,5.39,1.63,-0.18,-0.15,3.07,2.0,,foul,67.4,60.0,164.0,83.3,63.0,10523,1,2,,,680474.0,2.0,,,,,,,,,OAK,0.285,0.697,0.18,0.502,0.318,0.041,0.132,OAK,0.285,0.697,0.18,0.502,0.318,0.041,0.132,ST,7,0,True,1.0,0,0.28846153846153855,0,7,4,7,5,8,5,8,6,Foul,3,0.14893617021276595,0.0,1,1,0.13883644485421578,5,40,1
746238,2024-05-01,5,Bot,554430,621493,FF,95.1,2465.0,-2.24,53.23,5.15,-1.07,1.08,-0.46,2.73,4.0,,foul,75.8,45.0,227.0,96.6,231.0,610,2,2,694384.0,,,1.0,,,,,,,,,LAA,0.246,0.748,0.223,0.326,0.451,0.095,0.246,LAA,0.246,0.748,0.223,0.326,0.451,0.095,0.246,FF,3,1,True,2.0,0,0.5192307692307693,1,3,3,7,5,4,4,8,6,Ball,0,0.2836879432624113,0.1,1,1,0.24973714088765744,8,32,1
746633,2024-05-21,3,Bot,605288,666310,SI,94.7,2140.0,-1.36,53.24,5.76,-1.25,0.67,2.51,1.83,14.0,hit_by_pitch,hit_by_pitch,,,,96.6,229.0,20571,1,2,,,,1.0,,,,,,,,,CLE,0.201,0.614,0.175,0.35,0.474,0.075,0.314,CLE,0.201,0.614,0.175,0.35,0.474,0.075,0.314,SI,5,1,False,2.0,0,0.2307692307692308,0,3,0,5,5,4,1,6,6,Foul,3,0.10638297872340426,0.0,1,0,0.10109611687136877,5,20,0
