game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,stand,p_throws,group,balls,strikes,count,on_3b,on_2b,on_1b,outs_when_up
717932,2023-06-01,1,Top,519242,668715,SL,77.7,2310.0,3.36,54.35,5.17,-0.56,-0.33,0.19,1.78,8,,called_strike,,,,77.6,310.0,R,L,1,0,1,0-1,,,621028.0,2
717932,2023-06-01,1,Top,519242,668715,FF,95.1,2244.0,3.28,53.33,5.09,1.27,0.94,-0.86,3.21,11,,ball,,,,96.6,109.0,R,L,1,1,1,1-1,,,621028.0,2
717932,2023-06-01,1,Top,519242,668715,SL,80.2,2496.0,3.29,53.89,5.21,-1.31,-0.34,-0.32,2.3,4,,swinging_strike,,,,80.4,313.0,R,L,1,1,2,1-2,,,621028.0,2
717932,2023-06-01,1,Top,519242,668715,FF,95.5,2266.0,3.12,53.3,5.29,1.09,1.06,-0.08,3.37,11,,foul,78.1,72.0,146.0,97.0,112.0,R,L,1,1,2,1-2,,,621028.0,2
717932,2023-06-01,1,Top,519242,668715,SL,81.1,2266.0,3.25,53.75,5.19,-1.06,-0.46,-0.59,1.06,13,,ball,,,,81.8,318.0,R,L,1,2,2,2-2,,,621028.0,2
717932,2023-06-01,1,Top,519242,668715,SL,80.5,2356.0,3.25,53.49,5.2,-1.11,-0.33,-0.64,1.01,13,strikeout,swinging_strike,,,,81.3,314.0,R,L,1,2,3,2-3,,,621028.0,2
717932,2023-06-01,1,Top,519242,663697,FF,93.1,2229.0,3.31,53.89,4.88,1.49,0.6,-1.07,2.33,11,,ball,,,,93.3,105.0,R,L,2,1,0,1-0,,,621028.0,1
717932,2023-06-01,1,Top,519242,663697,FF,94.6,2317.0,3.31,53.77,4.98,1.53,0.87,0.71,2.43,6,,swinging_strike,,,,94.9,109.0,R,L,2,1,1,1-1,,,621028.0,1
717932,2023-06-01,1,Top,519242,663697,CH,88.2,1943.0,3.38,54.03,4.8,1.44,0.2,-0.21,1.89,8,,swinging_strike,,,,88.2,93.0,R,L,2,1,2,1-2,,,621028.0,1
717932,2023-06-01,1,Top,519242,663697,SL,80.9,2406.0,3.22,53.27,5.12,-0.94,-0.17,-0.32,1.94,7,,foul,84.1,-17.0,5.0,82.0,312.0,R,L,2,1,2,1-2,,,621028.0,1
717932,2023-06-01,1,Top,519242,663697,FF,96.0,2321.0,3.15,53.36,5.32,1.21,0.86,0.27,3.65,12,strikeout,swinging_strike,,,,97.7,112.0,R,L,2,1,3,1-3,,,621028.0,1
717932,2023-06-01,1,Top,519242,680574,FF,94.6,2303.0,3.27,53.88,4.88,1.51,0.83,-0.69,1.78,7,,called_strike,,,,94.4,107.0,R,L,3,0,1,0-1,,,621028.0,0
717932,2023-06-01,1,Top,519242,680574,FF,91.5,2240.0,3.11,53.36,5.42,1.33,1.16,0.99,3.52,12,,ball,,,,92.4,120.0,R,L,3,1,1,1-1,,,621028.0,0
717932,2023-06-01,1,Top,519242,680574,SL,78.6,2374.0,3.35,54.14,4.97,-0.97,-0.46,-0.38,0.95,13,,swinging_strike,,,,78.3,315.0,R,L,3,1,2,1-2,,,621028.0,0
717932,2023-06-01,1,Top,519242,680574,FF,95.1,2267.0,3.23,53.34,5.21,1.36,0.82,0.18,3.07,2,strikeout,foul_tip,,,,96.2,109.0,R,L,3,1,2,1-2,,,621028.0,0
717932,2023-06-01,1,Top,519242,621028,FF,94.5,2389.0,3.25,53.75,5.06,1.36,0.94,-0.13,3.33,11,,ball,,,,95.1,112.0,R,L,4,1,0,1-0,,,,0
717932,2023-06-01,1,Top,519242,621028,FF,93.1,2332.0,3.36,54.04,4.99,1.48,0.78,0.78,1.65,9,single,hit_into_play,66.5,30.0,202.0,93.1,111.0,R,L,4,1,0,1-0,,,,0
717932,2023-06-01,1,Bot,668881,457759,FF,98.2,2306.0,-2.26,54.26,6.01,-0.95,1.12,0.29,2.38,6,,foul,82.4,44.0,266.0,98.2,223.0,R,R,5,0,1,0-1,,,,2
717932,2023-06-01,1,Bot,668881,457759,FF,98.2,2347.0,-2.2,54.22,6.26,-0.81,1.46,-0.26,3.78,11,,ball,,,,98.0,213.0,R,R,5,1,1,1-1,,,,2
717932,2023-06-01,1,Bot,668881,457759,SL,86.8,2200.0,-2.51,54.4,6.0,0.07,0.36,-0.12,2.69,5,,foul,100.2,3.0,73.0,86.2,135.0,R,R,5,1,2,1-2,,,,2
717932,2023-06-01,1,Bot,668881,457759,SL,86.9,2351.0,-2.46,54.37,5.95,0.44,0.29,1.42,1.55,14,,ball,,,,86.6,117.0,R,R,5,2,2,2-2,,,,2
717932,2023-06-01,1,Bot,668881,457759,FF,98.0,2313.0,-2.67,54.42,5.95,-0.75,1.24,-0.4,3.68,11,,foul,79.4,52.0,264.0,97.4,224.0,R,R,5,2,2,2-2,,,,2
717932,2023-06-01,1,Bot,668881,457759,FF,97.5,2312.0,-2.43,54.01,5.88,-1.06,1.05,1.05,1.98,14,,ball,,,,97.4,226.0,R,R,5,3,2,3-2,,,,2
717932,2023-06-01,1,Bot,668881,457759,FF,99.0,2372.0,-2.3,54.24,6.13,-0.92,1.36,0.3,3.28,3,,foul,81.5,22.0,232.0,98.7,215.0,R,R,5,3,2,3-2,,,,2
717932,2023-06-01,1,Bot,668881,457759,FF,99.1,2333.0,-2.24,54.18,6.24,-1.06,1.52,0.69,2.87,3,,foul,81.7,44.0,252.0,98.9,217.0,R,R,5,3,2,3-2,,,,2
717932,2023-06-01,1,Bot,668881,457759,SL,86.9,2359.0,-2.51,54.13,5.97,0.52,0.15,0.68,1.19,14,strikeout,swinging_strike,,,,86.9,103.0,R,R,5,3,3,3-3,,,,2
717932,2023-06-01,1,Bot,668881,646240,SL,85.7,2298.0,-2.63,54.43,5.92,0.22,0.33,-0.36,1.2,13,,swinging_strike,,,,85.5,148.0,L,R,6,0,1,0-1,,,,1
717932,2023-06-01,1,Bot,668881,646240,FF,97.2,2349.0,-2.45,54.58,6.0,-1.12,1.27,-1.26,3.17,11,,ball,,,,96.4,224.0,L,R,6,1,1,1-1,,,,1
717932,2023-06-01,1,Bot,668881,646240,FF,97.2,2324.0,-2.21,54.39,6.27,-0.88,1.33,-0.35,4.49,11,,ball,,,,96.6,217.0,L,R,6,2,1,2-1,,,,1
717932,2023-06-01,1,Bot,668881,646240,FF,98.3,2339.0,-2.62,54.32,5.91,-1.03,1.28,-0.75,2.26,4,,swinging_strike,,,12.0,97.8,229.0,L,R,6,2,2,2-2,,,,1
717932,2023-06-01,1,Bot,668881,646240,FF,98.7,2390.0,-2.24,54.25,6.12,-1.12,1.3,-0.21,3.07,2,strikeout,swinging_strike,,,,98.4,225.0,L,R,6,2,3,2-3,,,,1
717932,2023-06-01,1,Bot,668881,657077,FF,96.1,2329.0,-2.47,54.51,6.09,-0.71,1.39,0.26,2.71,5,,called_strike,,,,95.6,223.0,L,R,7,0,1,0-1,,,,0
717932,2023-06-01,1,Bot,668881,657077,FF,97.6,2342.0,-2.01,54.3,6.38,-0.72,1.38,0.53,3.45,3,,called_strike,,,,97.2,219.0,L,R,7,0,2,0-2,,,,0
717932,2023-06-01,1,Bot,668881,657077,FF,97.6,2383.0,-2.34,54.21,6.03,-1.13,1.18,-0.66,3.69,11,,ball,,,,97.4,222.0,L,R,7,1,2,1-2,,,,0
717932,2023-06-01,1,Bot,668881,657077,SL,87.7,2309.0,-2.41,54.2,5.92,0.39,0.46,0.84,0.93,14,strikeout,swinging_strike,,,,87.8,134.0,L,R,7,1,3,1-3,,,,0
717932,2023-06-01,2,Top,519242,669222,SL,76.7,2258.0,3.29,54.39,5.11,-0.83,-0.39,0.75,1.49,9,,ball,,,,76.5,309.0,R,L,8,1,0,1-0,,,,2
