game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,stand,p_throws
748583,2023-10-04,8,Top,643377,666182,FF,4-Seam Fastball,96.4,2398,-0.72,54.18,5.59,-0.64,1.38,0.72,3.84,12,,foul,90.7,52.0,253.0,96.6,213,R,R
748583,2023-10-04,8,Top,643377,666182,FF,4-Seam Fastball,97.2,2469,-0.81,54.17,5.64,-0.5,1.58,0.1,3.51,2,,swinging_strike,,,,97.3,211,R,R
748583,2023-10-04,8,Top,643377,665489,FF,4-Seam Fastball,95.9,2447,-0.81,54.1,5.51,-0.72,1.39,0.16,3.29,2,field_out,hit_into_play,105.4,18.0,394.0,96.3,207,R,R
748583,2023-10-04,8,Top,643377,665489,FF,4-Seam Fastball,96.4,2440,-0.86,54.13,5.49,-0.64,1.54,0.34,2.72,6,,called_strike,,,,96.4,209,R,R
748583,2023-10-04,8,Top,643377,665489,SI,Sinker,96.0,2428,-0.76,54.21,5.51,-1.4,0.97,-0.96,1.34,13,,ball,,,,96.2,213,R,R
748583,2023-10-04,8,Top,643377,665489,ST,Sweeper,86.8,3106,-0.9,54.27,5.47,1.36,-0.25,1.28,2.31,14,,ball,,,,86.7,47,R,R
748583,2023-10-04,8,Top,643377,665489,ST,Sweeper,88.0,2967,-0.81,54.2,5.54,0.99,0.3,1.87,1.72,14,,ball,,,,88.7,34,R,R
748583,2023-10-04,7,Bot,605447,668904,SL,Slider,87.9,2202,-1.78,53.12,6.51,0.22,-0.24,0.0,1.52,8,field_out,hit_into_play,104.7,-7.0,13.0,89.8,39,R,R
748583,2023-10-04,7,Bot,605447,668904,FF,4-Seam Fastball,98.9,2382,-1.81,53.14,6.62,-0.12,1.51,-1.07,4.69,11,,ball,,,,101.0,189,R,R
748583,2023-10-04,7,Bot,605447,668904,SL,Slider,88.7,2222,-2.02,53.11,6.48,0.24,-0.22,0.73,2.06,9,,foul,83.8,48.0,243.0,90.9,78,R,R
748583,2023-10-04,7,Bot,605447,668904,SL,Slider,87.2,2124,-2.47,53.12,6.26,0.44,-0.15,0.5,2.2,6,,foul,95.6,42.0,313.0,89.1,91,R,R
748583,2023-10-04,7,Bot,657024,593871,FF,4-Seam Fastball,93.7,2207,-0.91,54.04,6.29,-0.79,1.37,-0.72,3.91,11,walk,ball,,,,94.4,216,L,R
748583,2023-10-04,7,Bot,657024,593871,FS,Split-Finger,84.6,1295,-1.27,53.99,6.07,-0.78,0.18,-1.65,3.88,11,,ball,,,,85.3,230,L,R
748583,2023-10-04,7,Bot,657024,593871,FS,Split-Finger,85.8,1286,-1.27,53.95,6.08,-0.89,0.19,-0.67,3.45,11,,ball,,,,86.3,232,L,R
748583,2023-10-04,7,Bot,657024,593871,FS,Split-Finger,85.9,1234,-1.17,53.89,6.12,-0.98,0.15,-0.93,3.64,11,,ball,,,,86.7,236,L,R
748583,2023-10-04,7,Bot,657024,666397,FS,Split-Finger,86.4,1188,-1.15,53.67,6.07,-0.86,0.03,-0.26,2.0,8,force_out,hit_into_play,73.5,-7.0,14.0,87.7,232,L,R
748583,2023-10-04,7,Bot,657024,666397,FF,4-Seam Fastball,94.0,2333,-0.99,53.75,6.25,-0.94,1.38,0.56,2.15,9,,called_strike,,,,94.8,215,L,R
748583,2023-10-04,7,Bot,657024,666397,FS,Split-Finger,85.4,1251,-1.2,53.87,6.15,-0.91,-0.06,0.16,2.6,5,,called_strike,,,,86.4,234,L,R
748583,2023-10-04,7,Bot,657024,572191,FS,Split-Finger,85.3,1335,-1.24,53.76,6.02,-1.03,0.41,0.25,1.55,8,strikeout,swinging_strike,,,,86.6,230,R,R
748583,2023-10-04,7,Bot,657024,572191,FS,Split-Finger,85.7,1235,-1.17,53.8,6.15,-1.08,0.38,0.16,3.84,12,,ball,,,,86.7,222,R,R
748583,2023-10-04,7,Bot,657024,572191,FS,Split-Finger,85.6,1144,-1.11,53.69,6.08,-1.29,0.28,0.23,0.89,14,,swinging_strike,,,,86.2,232,R,R
748583,2023-10-04,7,Bot,657024,572191,FS,Split-Finger,85.5,1296,-1.01,53.75,6.21,-1.12,0.45,0.57,2.72,6,,called_strike,,,,86.6,225,R,R
748583,2023-10-04,7,Bot,657024,680777,FF,4-Seam Fastball,93.5,2310,-0.9,53.63,6.27,-1.05,1.24,0.96,2.07,14,walk,ball,,,,94.2,212,R,R
748583,2023-10-04,7,Bot,657024,680777,FF,4-Seam Fastball,92.8,2194,-0.99,53.86,6.28,-0.84,1.33,0.32,3.43,3,,called_strike,,,,93.4,216,R,R
748583,2023-10-04,7,Bot,657024,680777,SL,Slider,87.5,2340,-1.36,53.55,6.06,0.1,0.54,1.17,1.72,14,,ball,,,,88.9,144,R,R
748583,2023-10-04,7,Bot,657024,680777,SL,Slider,88.1,2295,-1.42,53.57,6.07,-0.04,0.85,1.95,1.56,14,,ball,,,,89.3,152,R,R
748583,2023-10-04,7,Bot,657024,680777,FF,4-Seam Fastball,93.4,2271,-0.94,53.73,6.41,-0.84,1.34,1.35,1.92,14,,ball,,,,93.9,212,R,R
748583,2023-10-04,7,Top,592779,474832,FF,4-Seam Fastball,97.6,2701,-1.96,54.39,5.59,-0.65,1.16,-1.03,2.79,11,strikeout,swinging_strike,,,,97.6,222,L,R
748583,2023-10-04,7,Top,592779,474832,FF,4-Seam Fastball,97.0,2605,-1.96,54.54,5.55,-0.63,1.14,-0.74,2.66,4,,swinging_strike,,,,96.8,225,L,R
748583,2023-10-04,7,Top,592779,474832,FC,Cutter,92.8,2456,-1.98,54.32,5.52,0.26,0.44,0.9,2.31,14,,ball,,,,93.3,182,L,R
748583,2023-10-04,7,Top,592779,474832,FC,Cutter,96.4,2463,-1.95,54.4,5.53,-0.13,0.78,0.12,2.17,5,,swinging_strike,,,,96.9,209,L,R
748583,2023-10-04,7,Top,592779,543807,FF,4-Seam Fastball,98.4,2629,-1.89,54.35,5.53,-0.75,1.2,-0.78,2.44,4,field_out,hit_into_play,94.2,33.0,358.0,98.7,218,R,R
