idfg,season,name,team,age,games,plate_appearances,at_bats,hits,doubles,triples,home_runs,runs,rbi,bb_percent,k_percent,walks,strikeouts,stolen_bases,caught_stealing,batting_average,on_base_percentage,slugging_percentage,ops,wrc_plus,iso,babip,ld_percent,gb_percent,fb_percent,hard_hit_percent
25524,2024,Aaron Schunk,COL,26,39,98,94,22,3,0,2,14,7,0.040999999999999995,0.316,4,31,0,1,0.234,0.265,0.33,0.595,49,0.096,0.328,0.242,0.387,0.371,0.317
31781,2024,Jackson Holliday,BAL,20,60,208,190,36,4,2,5,28,23,0.07200000000000001,0.332,15,69,4,0,0.189,0.255,0.311,0.565,63,0.121,0.265,0.098,0.5489999999999999,0.35200000000000004,0.451
27883,2024,Thomas Saggese,STL,22,18,52,49,10,2,0,1,5,4,0.038,0.26899999999999996,2,14,0,0,0.204,0.25,0.306,0.556,57,0.102,0.265,0.257,0.371,0.371,0.257
19948,2024,Cristian Pache,- - -,25,88,183,165,33,8,1,1,13,16,0.09300000000000001,0.35,17,64,1,0,0.2,0.273,0.279,0.552,56,0.079,0.317,0.152,0.505,0.34299999999999997,0.382
27464,2024,Dillon Dingler,DET,25,27,87,84,14,5,2,1,2,11,0.034,0.345,3,30,0,0,0.167,0.195,0.31,0.505,37,0.143,0.245,0.24100000000000002,0.426,0.33299999999999996,0.48100000000000004
13145,2024,Josh Bell,- - -,31,145,603,538,134,23,2,19,62,71,0.085,0.19899999999999998,51,120,0,1,0.249,0.319,0.405,0.725,101,0.156,0.286,0.17300000000000001,0.496,0.33,0.397
10441,2024,Jon Singleton,HOU,32,119,405,355,83,13,1,13,46,42,0.11599999999999999,0.27399999999999997,47,111,0,0,0.234,0.321,0.386,0.707,105,0.152,0.299,0.18600000000000003,0.397,0.41700000000000004,0.37200000000000005
21871,2024,Jerar Encarnacion,SFG,26,35,119,113,28,5,0,5,13,19,0.042,0.28600000000000003,5,34,1,0,0.248,0.277,0.425,0.702,94,0.177,0.307,0.23800000000000002,0.488,0.275,0.588
15464,2024,Hunter Renfroe,KCR,32,120,424,385,88,18,0,15,44,52,0.085,0.198,36,84,1,1,0.229,0.297,0.392,0.689,92,0.164,0.254,0.146,0.39399999999999996,0.46,0.39399999999999996
2967,2024,Tommy Pham,- - -,36,116,478,440,109,20,3,9,49,39,0.073,0.222,35,106,7,3,0.248,0.305,0.368,0.674,91,0.12,0.307,0.221,0.442,0.337,0.42700000000000005
23789,2024,Blaze Alexander,ARI,25,61,185,166,41,7,0,3,19,21,0.081,0.265,15,49,3,1,0.247,0.321,0.343,0.664,88,0.096,0.333,0.155,0.517,0.32799999999999996,0.34700000000000003
