pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2023-10-04,85.2,-0.78,5.55,"Gray, Sonny",595281,543243,,ball,,,,,14,Kevin Kiermaier flies out to center fielder Michael A.   Taylor.,F,L,R,MIN,TOR,B,,,0,2,2023,1.35,-0.58,1.2,1.15,,,672386,0,2,Top,,,,,,,1.9564168864293547,-124.16435585668854,-2.9160949856297975,13.60987751090408,24.19836365687808,-37.800648182828255,3.46,1.72,,,,85.8,2892,6.5,748583,680777,666135,666397,593871,621043,670242,572191,596146,53.98,,,,,,,,10,3,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,36,0.0,0.012,,,,-0.012,,0,0,0.462,0.538,33,33,34,33,1,0,6,1,6,,3.7,-1.35,1.35,46.1
ST,2023-10-04,85.0,-0.9,5.54,"Gray, Sonny",595281,543243,,foul,,,,,4,Kevin Kiermaier flies out to center fielder Michael A.   Taylor.,F,L,R,MIN,TOR,S,,,0,1,2023,0.96,-0.46,-0.58,2.53,,,672386,0,2,Top,,,,,,,-1.1727143125573745,-123.76901118423108,0.1887804633983443,10.146015877348328,24.4890755328028,-37.167656898592384,3.4,1.64,49,74.1,3,85.1,2888,6.3,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.21,,,,,,,,10,2,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,47,0.0,-0.064,,,,0.064,88.0,0,0,0.462,0.538,33,33,34,33,1,0,6,1,6,,3.61,-0.96,0.96,47.0
FF,2023-10-04,94.0,-0.86,5.53,"Gray, Sonny",595281,543243,,called_strike,,,,,9,Kevin Kiermaier flies out to center fielder Michael A.   Taylor.,F,L,R,MIN,TOR,S,,,0,0,2023,-0.03,1.23,0.43,2.15,,,672386,0,2,Top,,,,,,,3.415442995464305,-136.8665713201032,-5.8596514563172,-1.0612022242061645,28.08815302968607,-15.669239708820362,3.49,1.75,,,,95.0,2680,6.7,748583,680777,666135,666397,593871,621043,670242,572191,596146,53.8,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202,0.0,-0.054,,,,0.054,,0,0,0.462,0.538,33,33,34,33,1,0,6,1,6,,1.34,0.03,-0.03,45.5
ST,2023-10-04,84.4,-0.82,5.61,"Gray, Sonny",672386,543243,single,hit_into_play,,,,,9,Alejandro Kirk singles on a line drive to left fielder Matt Wallner.,F,R,R,MIN,TOR,X,7,line_drive,1,2,2023,1.41,-0.75,0.29,1.67,,,,0,2,Top,94.73,100.46,,,,,-0.2323431112167564,-122.95981855932756,-1.3705165599435658,14.44561672860796,22.466547753928563,-39.782819558650424,2.97,1.39,218,75.8,17,85.0,2813,6.4,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.09,0.903,0.842,0.9,1,1,0,4,9,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,38,-0.038,0.453,,,0.988,-0.453,88.0,0,0,0.5,0.5,33,24,34,25,1,0,6,1,6,,3.92,-1.41,-1.41,48.5
SI,2023-10-04,94.4,-0.65,5.65,"Gray, Sonny",672386,543243,,foul,,,,,11,Alejandro Kirk singles on a line drive to left fielder Matt Wallner.,F,R,R,MIN,TOR,S,,,1,2,2023,-0.87,0.85,-0.87,3.17,,,,0,2,Top,,,,,,,1.3675255861346551,-137.67252708353263,-2.7477169769668643,-11.399133751230105,27.40178849420687,-20.91759998828427,2.97,1.39,143,66.3,64,95.4,2592,6.5,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.0,,,,,,,,9,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,204,0.0,0.0,,,,0.0,88.0,0,0,0.5,0.5,33,24,34,25,1,0,6,1,6,,1.67,0.87,0.87,49.6
ST,2023-10-04,85.6,-0.79,5.6,"Gray, Sonny",672386,543243,,ball,,,,,14,Alejandro Kirk singles on a line drive to left fielder Matt Wallner.,F,R,R,MIN,TOR,B,,,0,2,2023,1.02,-0.48,1.73,1.43,,,,0,2,Top,,,,,,,3.882812003795824,-124.68219479374036,-2.595604104253741,9.867011530222998,25.566178151795043,-36.88338877737535,3.0,1.4,,,,85.8,3038,6.4,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.12,,,,,,,,9,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,43,0.0,0.022,,,,-0.022,,0,0,0.5,0.5,33,24,34,25,1,0,6,1,6,,3.59,-1.02,-1.02,45.6
SI,2023-10-04,93.3,-0.78,5.61,"Gray, Sonny",672386,543243,,swinging_strike,,,,,11,Alejandro Kirk singles on a line drive to left fielder Matt Wallner.,F,R,R,MIN,TOR,S,,,0,1,2023,-0.59,0.75,-0.42,3.11,,,,0,2,Top,,,,,,,2.23480193247125,-135.9715445874158,-2.3924711607666023,-7.771621263897169,26.301537870343676,-22.51786449328747,2.97,1.39,,,,94.3,2578,6.5,748583,680777,666135,666397,593871,621043,670242,572191,596146,53.99,,,,,,,,9,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,198,0.0,-0.049,,,,0.049,,0,0,0.5,0.5,33,24,34,25,1,0,6,1,6,,1.84,0.59,0.59,47.6
FF,2023-10-04,93.5,-0.92,5.63,"Gray, Sonny",672386,543243,,called_strike,,,,,8,Alejandro Kirk singles on a line drive to left fielder Matt Wallner.,F,R,R,MIN,TOR,S,,,0,0,2023,0.04,1.16,0.19,1.74,,,,0,2,Top,,,,,,,2.782943806858957,-136.0868320387189,-6.8930973773513164,-0.1424116735767579,29.35106177587197,-16.507697827711645,2.94,1.37,,,,94.0,2735,6.5,748583,680777,666135,666397,593871,621043,670242,572191,596146,53.96,,,,,,,,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206,0.0,-0.038,,,,0.038,,0,0,0.5,0.5,33,24,34,25,1,0,6,1,6,,1.45,-0.04,-0.04,47.4
SV,2023-10-04,85.0,-2.06,5.83,"Berríos, José",668904,621244,grounded_into_double_play,hit_into_play,,,,,14,"Royce Lewis grounds into a double play, shortstop Bo Bichette to second baseman Cavan Biggio to first baseman Vladimir Guerrero Jr.  Jorge Polanco out at 2nd.    Royce Lewis out at 1st.",F,R,R,MIN,TOR,X,6,ground_ball,0,2,2023,1.4,-0.44,0.92,1.4,,,593871,1,1,Bot,108.52,156.78,,,,,4.174323448071438,-123.75170392649318,-3.1712695836691087,13.538434146417108,25.39413796166349,-36.275343736611624,3.35,1.54,77,71.5,7,85.0,2522,6.3,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.17,0.263,0.249,0.0,1,0,0,2,8,3,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,31,-0.05,-0.281,,,0.333,0.281,88.0,0,0,0.55,0.55,29,24,29,24,1,0,7,1,,3,3.6,-1.4,-1.4,41.8
SV,2023-10-04,83.7,-2.05,5.78,"Berríos, José",668904,621244,,foul,,,,,9,"Royce Lewis grounds into a double play, shortstop Bo Bichette to second baseman Cavan Biggio to first baseman Vladimir Guerrero Jr.  Jorge Polanco out at 2nd.    Royce Lewis out at 1st.",F,R,R,MIN,TOR,S,,,0,1,2023,1.38,-0.61,0.52,1.88,,,593871,1,1,Bot,,,,,,,3.2093016875927147,-121.83375712052973,-1.343647227215746,12.973517472818726,25.680071369761983,-38.178522425498464,3.35,1.54,1,57.4,-66,83.4,2504,6.2,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.28,,,,,,,,8,2,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,38,0.0,-0.062,,,,0.062,88.0,0,0,0.55,0.55,29,24,29,24,1,0,7,1,,3,3.88,-1.38,-1.38,41.5
FF,2023-10-04,96.0,-1.96,5.94,"Berríos, José",668904,621244,,called_strike,,,,,9,"Royce Lewis grounds into a double play, shortstop Bo Bichette to second baseman Cavan Biggio to first baseman Vladimir Guerrero Jr.  Jorge Polanco out at 2nd.    Royce Lewis out at 1st.",F,R,R,MIN,TOR,S,,,0,0,2023,-0.62,1.48,0.68,2.1,,,593871,1,1,Bot,,,,,,,8.387174020777962,-139.4501154885272,-7.963264114511784,-9.907426134992342,29.242246507273904,-11.207738756431938,3.55,1.63,,,,96.3,2254,6.4,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.08,,,,,,,,8,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0.0,-0.05,,,,0.05,,0,0,0.55,0.55,29,24,29,24,1,0,7,1,,3,0.99,0.62,0.62,44.5
CH,2023-10-04,88.4,-2.06,5.76,"Berríos, José",593871,621244,single,hit_into_play,,,,,13,Jorge Polanco singles on a line drive to center fielder Kevin Kiermaier.,F,L,R,MIN,TOR,X,8,line_drive,1,2,2023,-1.16,0.24,-0.59,1.45,,,,1,1,Bot,146.59,72.8,,,,,6.032876520190705,-128.69749254367227,-5.0149670513912,-14.0790000807609,24.40431336450403,-28.747578444749145,3.34,1.65,264,93.7,13,89.2,1427,6.6,748583,672386,665489,624415,656305,666182,662139,595281,543807,53.92,0.937,0.891,0.9,1,1,0,4,7,5,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,241,0.024,0.312,,,1.099,-0.312,93.7,0,0,0.526,0.526,29,29,29,30,1,0,7,1,,3,2.66,1.16,-1.16,39.7
SV,2023-10-04,85.1,-2.12,5.98,"Berríos, José",593871,621244,,ball,,,,,11,Jorge Polanco singles on a line drive to center fielder Kevin Kiermaier.,F,L,R,MIN,TOR,B,,,0,2,2023,1.18,-0.53,-2.17,3.81,,,,1,1,Bot,,,,,,,-2.467992436550486,-123.9921887218254,2.2148658345425543,12.676065139435057,22.94870825821726,-38.28284040770771,3.4,1.75,,,,85.1,2318,6.0,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.47,,,,,,,,7,4,Slurve,0,0,0,0,0,0,0,0,Infield shade,Standard,32,0.0,0.012,,,,-0.012,,0,0,0.526,0.526,29,29,29,30,1,0,7,1,,3,3.65,-1.18,1.18,44.7
SV,2023-10-04,85.4,-2.04,5.94,"Berríos, José",593871,621244,,foul,,,,,13,Jorge Polanco singles on a line drive to center fielder Kevin Kiermaier.,F,L,R,MIN,TOR,S,,,0,2,2023,1.35,-0.55,-0.34,0.87,,,,1,1,Bot,,,,,,,1.2991904932352782,-124.34696648036476,-4.514273967545647,13.673551316881776,26.298348243816623,-37.082042846325734,3.34,1.65,,,,85.1,2431,6.2,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.3,,,,,,,,7,3,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,33,0.0,0.0,,,,0.0,,0,0,0.526,0.526,29,29,29,30,1,0,7,1,,3,3.68,-1.35,1.35,44.7
FF,2023-10-04,95.7,-1.93,5.89,"Berríos, José",593871,621244,,foul,,,,,4,Jorge Polanco singles on a line drive to center fielder Kevin Kiermaier.,F,L,R,MIN,TOR,S,,,0,1,2023,-0.68,1.2,-0.33,2.72,,,,1,1,Bot,,,,,,,5.777673588553931,-139.24791259277504,-5.499117370758539,-10.138249814459904,28.59985603257335,-15.53371600679873,3.34,1.65,211,88.0,63,96.4,2195,6.5,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.01,,,,,,,,7,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,224,0.0,-0.036,,,,0.036,88.0,0,0,0.526,0.526,29,29,29,30,1,0,7,1,,3,1.27,0.68,-0.68,43.8
SI,2023-10-04,95.5,-1.95,5.9,"Berríos, José",593871,621244,,called_strike,,,,,4,Jorge Polanco singles on a line drive to center fielder Kevin Kiermaier.,F,L,R,MIN,TOR,S,,,0,0,2023,-1.26,1.09,-0.39,2.31,,,,1,1,Bot,,,,,,,6.932013485460957,-138.818934223347,-6.301470023096685,-17.884379395759847,29.804702517802557,-16.86321695917852,3.43,1.75,,,,95.6,2164,6.3,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.19,,,,,,,,7,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,223,0.0,-0.026,,,,0.026,,0,0,0.526,0.526,29,29,29,30,1,0,7,1,,3,1.41,1.26,-1.26,42.8
SI,2023-10-04,95.5,-1.74,6.06,"Berríos, José",666397,621244,strikeout,called_strike,,,,,6,Edouard Julien called out on strikes.,F,L,R,MIN,TOR,S,2,,2,2,2023,-1.14,1.35,0.67,2.45,,,,0,1,Bot,,,,,,,8.943592321043614,-138.73251516016654,-6.961250888131526,-16.696668810921356,29.500901197129167,-13.266754297503455,3.38,1.69,,,,95.8,2233,6.5,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.03,,0.0,0.0,1,0,0,,6,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216,-0.021,-0.214,,,,0.214,,0,0,0.547,0.547,29,24,29,24,1,0,7,1,,3,1.14,1.14,-1.14,46.9
SV,2023-10-04,83.6,-2.17,5.88,"Berríos, José",666397,621244,,called_strike,,,,,8,Edouard Julien called out on strikes.,F,L,R,MIN,TOR,S,,,2,1,2023,1.38,-0.67,0.13,2.02,,,,0,1,Bot,,,,,,,2.5752666726202187,-121.74897887078129,-1.1181100857404398,13.139219131472997,25.358025896531363,-38.8423720719648,3.4,1.72,,,,83.2,2451,6.1,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.36,,,,,,,,6,4,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,29,0.0,-0.067,,,,0.067,,0,0,0.547,0.547,29,24,29,24,1,0,7,1,,3,3.95,-1.38,1.38,41.4
SV,2023-10-04,84.6,-2.12,5.83,"Berríos, José",666397,621244,,ball,,,,,14,Edouard Julien called out on strikes.,F,L,R,MIN,TOR,B,,,1,1,2023,1.39,-0.65,1.23,1.49,,,,0,1,Bot,,,,,,,5.041474207385754,-123.06539245342722,-2.439711088521015,12.91112701082928,26.476404742591367,-38.41451469271406,3.4,1.78,,,,84.3,2424,6.3,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.17,,,,,,,,6,3,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,36,0.0,0.053,,,,-0.053,,0,0,0.547,0.547,29,24,29,24,1,0,7,1,,3,3.86,-1.39,1.39,41.8
FF,2023-10-04,94.7,-2.06,5.87,"Berríos, José",666397,621244,,foul,,,,,4,Edouard Julien called out on strikes.,F,L,R,MIN,TOR,S,,,1,0,2023,-0.63,1.3,-0.35,2.25,,,,0,1,Bot,,,,,,,5.9218949329935535,-137.68847745646343,-6.706612186756688,-9.370504244108012,30.054631739421872,-14.33493733052867,3.33,1.67,331,99.1,42,95.1,2208,6.5,748583,672386,665489,624415,656305,666182,662139,595281,543807,53.96,,,,,,,,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220,0.0,-0.046,,,,0.046,99.1,0,0,0.547,0.547,29,24,29,24,1,0,7,1,,3,1.24,0.63,-0.63,47.0
FF,2023-10-04,94.7,-2.11,5.94,"Berríos, José",666397,621244,,ball,,,,,11,Edouard Julien called out on strikes.,F,L,R,MIN,TOR,B,,,0,0,2023,-0.83,1.18,-1.75,3.28,,,,0,1,Bot,,,,,,,2.805818297701774,-137.96968385850718,-3.9579387407104174,-11.182846529889911,30.16803340188901,-16.393970115721906,3.4,1.66,,,,95.1,2238,6.4,748583,672386,665489,624415,656305,666182,662139,595281,543807,54.09,,,,,,,,6,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,214,0.0,0.036,,,,-0.036,,0,0,0.547,0.547,29,24,29,24,1,0,7,1,,3,1.35,0.83,-0.83,43.5
ST,2023-10-04,84.9,-0.97,5.57,"Gray, Sonny",624415,543243,strikeout,called_strike,,,,,4,Cavan Biggio called out on strikes.,F,L,R,MIN,TOR,S,2,,3,2,2023,1.55,-0.51,-0.37,2.74,,543807,666182,2,1,Top,,,,,,,-1.695513733614808,-123.74911908391672,0.6958451233062468,16.24634065086552,24.12824721665141,-37.802001551078035,3.4,1.61,,,,85.2,2642,6.4,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.13,,0.0,0.0,1,0,0,,5,8,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,42,0.042,-0.495,,,,0.495,,0,0,0.505,0.495,33,28,34,28,1,0,6,1,6,,3.66,-1.55,1.55,44.1
CU,2023-10-04,80.6,-0.77,5.57,"Gray, Sonny",624415,543243,,foul,,,,,5,Cavan Biggio called out on strikes.,F,L,R,MIN,TOR,S,,,3,2,2023,0.72,-1.23,0.0,2.25,,543807,666182,2,1,Top,,,,,,,0.3440177192139668,-117.27437872992182,1.74118625204739,6.516303747879517,24.941721389591414,-44.0320989967026,3.39,1.6,7,83.5,-18,80.7,2678,6.6,748583,680777,666135,666397,593871,621043,670242,572191,596146,53.86,,,,,,,,5,7,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,35,0.0,0.0,,,,0.0,88.0,0,0,0.505,0.495,33,28,34,28,1,0,6,1,6,,4.78,-0.72,0.72,46.6
ST,2023-10-04,84.4,-0.88,5.54,"Gray, Sonny",624415,543243,,ball,,,,,1,Cavan Biggio called out on strikes.,F,L,R,MIN,TOR,B,,,2,2,2023,1.46,-0.68,-0.8,2.94,,543807,666182,2,1,Top,,,,,,,-2.7092712947124413,-122.84396893999492,1.6969281209308609,15.312052064669889,25.140727833399133,-39.63546207746937,3.47,1.64,,,,84.3,2699,6.3,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.23,,,,,,,,5,6,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,38,0.0,0.103,,,,-0.103,,0,0,0.505,0.495,33,28,34,28,1,0,6,1,6,,3.89,-1.46,1.46,46.2
ST,2023-10-04,84.7,-0.95,5.5,"Gray, Sonny",624415,543243,,foul,,,,,8,Cavan Biggio called out on strikes.,F,L,R,MIN,TOR,S,,,2,2,2023,1.53,-0.45,0.22,1.93,,543807,666182,2,1,Top,,,,,,,-0.3390792170614249,-123.43328648709242,-1.105805599766735,15.678669016592591,25.53325028071122,-36.77921720927553,3.39,1.6,,,,85.0,2609,6.5,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.02,,,,,,,,5,5,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,46,0.0,0.0,,,,0.0,,0,0,0.505,0.495,33,28,34,28,1,0,6,1,6,,3.63,-1.53,1.53,42.7
ST,2023-10-04,84.6,-0.78,5.59,"Gray, Sonny",624415,543243,,ball,,,,,14,Cavan Biggio called out on strikes.,F,L,R,MIN,TOR,B,,,1,2,2023,1.49,-0.59,0.71,1.29,,543807,666182,2,1,Top,,,,,,,0.4984475410523217,-123.17549015491406,-2.461828585220224,14.956982849466003,26.173656568934707,-37.8526148025656,3.46,1.6,,,,84.6,2672,6.4,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.09,,,,,,,,5,4,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,40,0.0,0.053,,,,-0.053,,0,0,0.505,0.495,33,28,34,28,1,0,6,1,6,,3.79,-1.49,1.49,49.5
ST,2023-10-04,84.7,-0.78,5.62,"Gray, Sonny",624415,543243,,ball,,,,,14,Cavan Biggio called out on strikes.,F,L,R,MIN,TOR,B,,,0,2,2023,1.48,-0.6,0.91,1.5,,543807,666182,2,1,Top,,,,,,,0.9906612365885584,-123.39551174588138,-2.0275361792369853,14.795674701224629,26.636896369569637,-38.09777294914245,3.4,1.66,,,,84.6,2693,6.3,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.18,,,,,,,,5,3,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,42,0.0,0.028,,,,-0.028,,0,0,0.505,0.495,33,28,34,28,1,0,6,1,6,,3.8,-1.48,1.48,49.0
CU,2023-10-04,81.3,-0.75,5.67,"Gray, Sonny",624415,543243,,called_strike,,,,,2,Cavan Biggio called out on strikes.,F,L,R,MIN,TOR,S,,,0,1,2023,1.2,-1.18,-0.05,3.04,,543807,666182,2,1,Top,,,,,,,-0.7387710383857745,-118.3428823924074,3.0248201464334823,11.370321268629604,24.680136923280543,-44.05737459626464,3.55,1.69,,,,81.1,2645,6.3,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.16,,,,,,,,5,2,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,28,0.0,-0.098,,,,0.098,,0,0,0.505,0.495,33,28,34,28,1,0,6,1,6,,4.65,-1.2,1.2,50.2
CU,2023-10-04,80.3,-0.86,5.56,"Gray, Sonny",624415,543243,,called_strike,,,,,8,Cavan Biggio called out on strikes.,F,L,R,MIN,TOR,S,,,0,0,2023,1.25,-1.12,-0.04,1.7,,543807,666182,2,1,Top,,,,,,,-0.5607806273878524,-116.83103821375192,0.3596002380075025,11.4925601959764,24.510351486600538,-42.69698467091061,3.58,1.69,,,,79.9,2660,6.3,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.23,,,,,,,,5,1,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,31,0.0,-0.063,,,,0.063,,0,0,0.505,0.495,33,28,34,28,1,0,6,1,6,,4.69,-1.25,1.25,47.9
ST,2023-10-04,85.2,-0.82,5.6,"Gray, Sonny",666182,543243,single,hit_into_play,,,,,14,Bo Bichette singles on a ground ball to third baseman Jorge Polanco.   George Springer to 2nd.,F,R,R,MIN,TOR,X,5,ground_ball,1,0,2023,1.2,-0.54,0.3,1.15,,,543807,2,1,Top,92.75,150.11,,,,,0.22055725475358,-124.08926438664082,-3.066374098077978,12.306538190905206,26.204279706960723,-37.26364585801131,3.69,1.72,110,80.6,9,85.1,2646,6.3,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.18,0.417,0.389,0.9,1,1,0,4,4,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,43,-0.02,0.284,,,0.465,-0.284,88.0,0,0,0.525,0.475,33,25,34,25,1,0,6,1,6,,3.68,-1.2,-1.2,47.3
FF,2023-10-04,92.7,-0.83,5.55,"Gray, Sonny",666182,543243,,ball,,,,,14,Bo Bichette singles on a ground ball to third baseman Jorge Polanco.   George Springer to 2nd.,F,R,R,MIN,TOR,B,,,0,0,2023,-0.21,0.92,0.56,1.79,,,543807,2,1,Top,,,,,,,4.025151041984512,-135.00145186949814,-5.885753973099834,-3.3543021611081185,26.784383589085593,-19.829696568799868,3.79,1.97,,,,93.4,2554,6.5,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.03,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204,0.0,0.025,,,,-0.025,,0,0,0.525,0.475,33,25,34,25,1,0,6,1,6,,1.71,0.21,0.21,43.0
FC,2023-10-04,90.9,-0.91,5.53,"Gray, Sonny",665489,543243,field_out,hit_into_play,,,,,9,Vladimir Guerrero Jr.  flies out to right fielder Max Kepler.,F,R,R,MIN,TOR,X,9,fly_ball,0,0,2023,0.48,0.62,0.69,1.85,,,543807,1,1,Top,197.24,91.97,,,,,3.0000712956200366,-132.4983340144247,-4.739588618294488,5.092387785719767,24.99407529450872,-24.06546376670846,3.62,1.66,317,92.1,31,92.0,2682,6.6,748583,680777,666135,666397,593871,621043,670242,572191,596146,53.89,0.097,0.154,0.0,1,0,0,3,3,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,185,0.028,-0.303,,,0.288,0.303,92.1,0,0,0.497,0.503,33,24,34,24,1,0,6,1,6,,2.1,-0.48,-0.48,44.9
ST,2023-10-04,85.2,-0.8,5.63,"Gray, Sonny",474832,543243,strikeout,swinging_strike,,,,,9,Brandon Belt strikes out swinging.,F,L,R,MIN,TOR,S,2,,0,2,2023,1.26,-0.52,0.64,1.61,,,543807,0,1,Top,,,,,,,0.854661930432987,-124.1359704981106,-2.104355529146894,12.84410182958786,25.415476423435617,-37.3049986159879,3.2,1.57,,,,85.4,2650,6.4,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.09,,0.0,0.0,1,0,0,,2,5,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,43,0.033,-0.234,,,,0.234,,0,0,0.464,0.536,33,35,34,35,1,0,6,1,6,,3.66,-1.26,1.26,47.8
FF,2023-10-04,93.3,-0.85,5.58,"Gray, Sonny",474832,543243,,foul,,,,,3,Brandon Belt strikes out swinging.,F,L,R,MIN,TOR,S,,,0,2,2023,0.17,1.04,0.28,2.84,,,543807,0,1,Top,,,,,,,2.53303585247342,-135.95406710914574,-3.662876004212728,1.6297488666516415,27.114800685672236,-18.648941231177243,3.2,1.57,73,85.8,4,94.1,2501,6.5,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.01,,,,,,,,2,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,201,0.0,0.0,,,,0.0,88.0,0,0,0.464,0.536,33,35,34,35,1,0,6,1,6,,1.55,-0.17,0.17,49.6
ST,2023-10-04,83.6,-0.99,5.58,"Gray, Sonny",474832,543243,,foul,,,,,2,Brandon Belt strikes out swinging.,F,L,R,MIN,TOR,S,,,0,2,2023,1.62,-0.38,-0.24,2.86,,,543807,0,1,Top,,,,,,,-1.4782056011304971,-121.80809627384389,0.9041822990207208,16.398932468344746,24.14069358537398,-36.38919992011145,3.2,1.57,122,58.6,63,83.9,2610,6.5,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.05,,,,,,,,2,3,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,42,0.0,0.0,,,,0.0,88.0,0,0,0.464,0.536,33,35,34,35,1,0,6,1,6,,3.64,-1.62,1.62,43.3
ST,2023-10-04,83.9,-0.98,5.6,"Gray, Sonny",474832,543243,,foul,,,,,5,Brandon Belt strikes out swinging.,F,L,R,MIN,TOR,S,,,0,1,2023,1.41,-0.46,0.07,2.26,,,543807,0,1,Top,,,,,,,-0.3687308820451003,-122.16587106997116,-0.4069838265062228,14.209421350586956,24.406055363713747,-36.89799966803693,3.2,1.57,6,74.5,-23,84.0,2581,6.4,748583,680777,666135,666397,593871,621043,670242,572191,596146,54.14,,,,,,,,2,2,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,43,0.0,-0.064,,,,0.064,88.0,0,0,0.464,0.536,33,35,34,35,1,0,6,1,6,,3.7,-1.41,1.41,51.3
