pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2023-10-04,101.0,-2.0,5.87,"Duran, Jhoan",672386,661395,,called_strike,,,,,1,Alejandro Kirk strikes out swinging.,F,R,R,MIN,TOR,S,,,2,0,2023,-0.96,1.07,-0.39,2.88,,,,0,9,Top,,,,,,,6.743480694966207,-146.94115322996075,-5.604777978064421,-15.459573461196085,30.900167072280755,-15.576828344899225,2.85,1.28,,,,101.3,2037,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.3,,,,,,,,69,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,223,0.0,-0.058,,,,0.058,,2,-2,0.929,0.071,25,24,25,25,1,3,1,1,4,,1.15,0.96,0.96,32.0
FF,2023-10-04,100.8,-1.96,6.01,"Duran, Jhoan",672386,661395,,ball,,,,,11,Alejandro Kirk strikes out swinging.,F,R,R,MIN,TOR,B,,,1,0,2023,-0.9,1.02,-1.49,5.19,,,,0,9,Top,,,,,,,3.4332252992186767,-146.73930416597906,0.6426760853623782,-13.760308654644753,35.87830222352889,-17.82332001743869,2.91,1.34,,,,100.5,2095,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.34,,,,,,,,69,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,225,0.0,0.064,,,,-0.064,,2,-2,0.929,0.071,25,24,25,25,1,3,1,1,4,,1.23,0.9,0.9,34.2
FF,2023-10-04,102.2,-1.89,6.04,"Duran, Jhoan",672386,661395,,ball,,,,,11,Alejandro Kirk strikes out swinging.,F,R,R,MIN,TOR,B,,,0,0,2023,-0.91,1.23,-0.06,5.09,,,,0,9,Top,,,,,,,7.354300064821691,-148.76148151865934,-0.369858190570373,-15.244672294197697,35.91239926841799,-14.08942060173254,2.94,1.34,,,,102.0,2109,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.3,,,,,,,,69,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,221,0.0,0.036,,,,-0.036,,2,-2,0.929,0.071,25,24,25,25,1,3,1,1,4,,0.96,0.91,0.91,33.8
SL,2023-10-04,89.4,-2.22,6.3,"Romano, Jordan",680777,605447,field_out,hit_into_play,,,,,2,Ryan Jeffers flies out to right fielder George Springer.,F,R,R,MIN,TOR,X,9,fly_ball,0,0,2023,0.2,-0.01,0.18,3.31,621043,650489,,2,8,Bot,195.66,114.9,,,,,5.614597493030615,-130.17695146339923,-1.3834496744140092,1.1356292613108243,26.048395230146017,-32.19532432653614,3.31,1.57,271,98.8,52,91.5,2020,7.4,748583,672386,665489,669289,656305,666182,624415,662139,543807,53.1,0.011,0.015,0.0,1,0,0,3,68,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,75,-0.015,-0.581,,,0.024,0.581,98.8,2,2,0.944,0.944,30,26,30,26,1,3,4,1,,3,2.85,-0.2,-0.2,49.6
SL,2023-10-04,88.3,-2.57,6.13,"Romano, Jordan",650489,605447,single,hit_into_play,,,,,8,Willi Castro singles on a ground ball to center fielder Daulton Varsho.   Carlos Correa to 3rd.    Willi Castro to 2nd.,F,L,R,MIN,TOR,X,8,ground_ball,1,0,2023,0.43,-0.13,-0.15,1.64,,,621043,2,8,Bot,145.51,96.75,,,,,5.0993010105259255,-128.5945051685454,-4.766535595563359,3.916710001533325,22.17941932975215,-32.924254655677025,3.58,1.67,20,110.6,-3,90.7,2197,7.4,748583,672386,665489,669289,656305,666182,624415,662139,543807,53.15,0.469,0.431,0.9,1,1,0,4,67,2,Slider,2,0,2,0,0,2,2,0,Standard,Standard,96,0.008,0.284,,,0.501,-0.284,110.6,2,2,0.936,0.936,30,26,30,26,1,2,4,1,,3,3.0,-0.43,0.43,48.1
FF,2023-10-04,98.2,-2.47,6.13,"Romano, Jordan",650489,605447,,ball,,,,,12,Willi Castro singles on a ground ball to center fielder Daulton Varsho.   Carlos Correa to 3rd.    Willi Castro to 2nd.,F,L,R,MIN,TOR,B,,,0,0,2023,-0.23,1.44,0.32,4.09,,,621043,2,8,Bot,,,,,,,8.29503366054994,-142.88389818904642,-3.5273067604000983,-5.003042293662511,30.819969380771965,-11.715883440298729,3.7,1.66,,,,100.9,2291,7.6,748583,672386,665489,669289,656305,666182,624415,662139,543807,52.87,,,,,,,,67,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,208,0.0,0.025,,,,-0.025,,2,2,0.936,0.936,30,26,30,26,1,2,4,1,,3,0.91,0.23,-0.23,49.0
FF,2023-10-04,99.3,-1.6,6.62,"Romano, Jordan",621043,605447,hit_by_pitch,hit_by_pitch,,,,,11,Carlos Correa hit by pitch.,F,R,R,MIN,TOR,B,,,0,2,2023,-0.12,1.54,-1.53,4.03,,,,2,8,Bot,,,,,,,0.4957499300794592,-144.50496289205788,-5.388229679748949,-1.843984909462408,35.002229455768244,-9.625190734251968,3.54,1.67,,,,101.2,2275,7.4,748583,672386,665489,669289,656305,666182,624415,662139,543807,53.07,,0.726005,0.7,1,0,0,,66,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,190,0.004,0.175,,,,-0.175,,2,2,0.932,0.932,30,28,30,29,1,3,4,1,,3,0.78,0.12,0.12,62.6
FF,2023-10-04,98.8,-1.66,6.46,"Romano, Jordan",621043,605447,,called_strike,,,,,4,Carlos Correa hit by pitch.,F,R,R,MIN,TOR,S,,,0,1,2023,-0.21,1.59,-0.75,2.62,,,,2,8,Bot,,,,,,,3.030118781136388,-143.63838114108583,-8.913752779878308,-3.645723779804393,34.43598770096708,-8.264472475922757,3.61,1.66,,,,100.9,2382,7.6,748583,672386,665489,669289,656305,666182,624415,662139,543807,52.91,,,,,,,,66,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,191,0.0,-0.023,,,,0.023,,2,2,0.932,0.932,30,28,30,29,1,3,4,1,,3,0.75,0.21,0.21,65.4
FF,2023-10-04,98.2,-1.92,6.44,"Romano, Jordan",621043,605447,,called_strike,,,,,8,Carlos Correa hit by pitch.,F,R,R,MIN,TOR,S,,,0,0,2023,-0.22,1.51,-0.17,2.13,,,,2,8,Bot,,,,,,,5.3776603870409065,-142.61839691067593,-9.868143500189872,-4.336860927330526,34.31430496810811,-9.478889895275117,3.55,1.69,,,,100.2,2371,7.6,748583,672386,665489,669289,656305,666182,624415,662139,543807,52.92,,,,,,,,66,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,191,0.0,-0.017,,,,0.017,,2,2,0.932,0.932,30,28,30,29,1,3,4,1,,3,0.87,0.22,0.22,58.7
SL,2023-10-04,88.5,-1.97,6.5,"Romano, Jordan",456781,605447,field_out,hit_into_play,,,,,4,Donovan Solano grounds out to first baseman Vladimir Guerrero Jr.,F,R,R,MIN,TOR,X,3,ground_ball,0,1,2023,0.21,-0.46,-0.37,2.35,,,,1,8,Bot,145.23,164.05,,,,,3.506632842808889,-128.96757473031744,-3.2124994463108534,1.724440428834375,24.48926562591477,-36.88427421148969,3.22,1.51,10,90.5,-12,90.3,2190,7.1,748583,672386,665489,669289,656305,666182,624415,662139,543807,53.38,0.154,0.122,0.0,1,0,0,2,65,2,Slider,2,0,2,0,0,2,2,0,Infield shade,Standard,55,-0.005,-0.143,,,0.171,0.143,90.5,2,2,0.937,0.937,30,35,30,36,1,2,4,1,,4,3.34,-0.21,-0.21,58.8
