idfg,season,name,team,age,wins,losses,war,era,games,games_started,innings_pitched,strikeouts,walks,home_runs,whip,k_per_9,bb_per_9,k_percent,bb_percent,fip,xfip,babip,lob_percent,hard_hit_percent,flyball_percent,fb_velocity,sl_percent,sl_velocity,ch_percent,ch_velocity,cb_percent,cb_velocity,ld_percent,gb_percent,hr_per_9
20353,2024,Steven Wilson,CHW,29,1,6,-0.7,5.71,40,0,34.2,34,26,8,1.59,8.83,6.75,0.209,0.16,6.71,6.11,0.228,0.62,0.31,0.5670000000000001,93.5,0.515,82.4,0.08,81.7,,,0.196,0.237,2.08
12056,2024,Scott McGough,ARI,34,1,3,-0.7,7.44,26,2,32.2,25,21,6,1.68,6.89,5.79,0.16699999999999998,0.14,6.04,5.6,0.289,0.546,0.379,0.408,93.2,0.139,87.2,,,,,0.184,0.408,1.65
17639,2024,Justin Lawrence,COL,29,4,4,-0.8,6.49,56,0,59.2,45,33,9,1.78,6.79,4.98,0.161,0.11800000000000001,5.63,4.94,0.346,0.608,0.41200000000000003,0.26,94.6,0.41100000000000003,83.0,,,,,0.20800000000000002,0.531,1.36
5003,2024,Jake Diekman,NYM,37,2,3,-0.8,5.63,43,0,32.0,40,24,7,1.47,11.25,6.75,0.276,0.166,6.14,4.43,0.229,0.655,0.39,0.316,94.6,0.289,82.8,0.09699999999999999,87.2,,,0.237,0.447,1.97
27483,2024,Bobby Miller,LAD,25,2,4,-0.9,8.52,13,13,56.0,52,30,17,1.77,8.36,4.82,0.20199999999999999,0.11599999999999999,6.97,4.7,0.331,0.622,0.47700000000000004,0.35600000000000004,97.6,0.096,88.6,0.19899999999999998,86.5,0.19,79.8,0.201,0.44299999999999995,2.73
12760,2024,Rafael Montero,HOU,33,1,2,-0.9,4.7,41,0,38.1,23,19,8,1.41,5.4,4.46,0.14,0.11599999999999999,6.4,5.38,0.243,0.7859999999999999,0.42,0.361,95.2,0.075,86.3,0.231,91.0,,,0.218,0.42,1.88
18403,2024,Enyel De Los Santos,- - -,28,1,2,-0.9,5.2,64,0,64.0,66,25,17,1.41,9.28,3.52,0.237,0.09,5.96,4.57,0.291,0.8009999999999999,0.423,0.483,95.5,0.42700000000000005,86.5,0.079,87.6,,,0.172,0.344,2.39
20546,2024,Grant Anderson,TEX,27,0,1,-0.9,8.1,23,0,26.2,29,10,11,1.61,9.79,3.38,0.242,0.083,7.59,4.33,0.319,0.6990000000000001,0.413,0.46299999999999997,92.3,0.41,82.2,0.075,85.6,,,0.138,0.4,3.71
18000,2024,Triston McKenzie,CLE,26,3,5,-1.0,5.11,16,16,75.2,74,49,19,1.56,8.8,5.83,0.218,0.14400000000000002,6.46,5.41,0.254,0.79,0.41700000000000004,0.519,91.2,0.21,85.4,,,0.266,77.8,0.131,0.35,2.26
11836,2024,Taijuan Walker,PHI,31,3,7,-1.1,7.1,19,15,83.2,58,37,24,1.72,6.24,3.98,0.152,0.09699999999999999,6.94,5.29,0.32,0.6970000000000001,0.46299999999999997,0.406,91.3,0.179,85.1,,,0.10800000000000001,74.7,0.21600000000000003,0.37799999999999995,2.58
25311,2024,Roddery Munoz,MIA,24,2,7,-1.6,6.53,18,17,82.2,70,42,26,1.58,7.62,4.57,0.185,0.111,7.27,5.36,0.267,0.703,0.447,0.45399999999999996,95.2,0.191,85.7,0.087,89.3,,,0.20600000000000002,0.34,2.83
