game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,stand,p_throws
660911,2021-10-31,9,Bot,608665,624585,SI,94.4,2244.0,-0.97,54.22,5.85,-1.25,1.01,0.35,4.17,12.0,strikeout,swinging_strike,,,,93.7,211.0,R,R
660911,2021-10-31,9,Bot,608665,624585,SI,95.7,2135.0,-1.06,54.15,5.85,-1.25,0.93,0.23,2.32,5.0,,foul,63.8,36.0,181.0,95.5,218.0,R,R
660911,2021-10-31,9,Bot,608665,624585,SI,96.6,2214.0,-0.89,54.22,5.9,-1.3,0.9,1.54,3.47,12.0,,ball,,,,96.1,214.0,R,R
660911,2021-10-31,9,Bot,608665,624585,SI,95.4,2260.0,-1.02,54.09,5.88,-1.37,1.04,-0.31,2.13,7.0,,foul,35.8,32.0,73.0,95.5,214.0,R,R
660911,2021-10-31,9,Bot,608665,624585,SI,96.0,2190.0,-1.08,54.11,5.82,-1.35,0.94,0.47,2.32,9.0,,called_strike,,,,96.1,216.0,R,R
660911,2021-10-31,9,Bot,608665,624585,SL,85.8,2531.0,-1.12,54.02,5.76,0.48,0.01,2.42,1.11,14.0,,ball,,,,85.9,63.0,R,R
660911,2021-10-31,9,Bot,608665,501303,SI,94.6,2222.0,-1.07,54.02,5.76,-1.36,0.97,-0.05,2.26,5.0,field_out,hit_into_play,103.2,17.0,323.0,94.7,221.0,L,R
660911,2021-10-31,9,Bot,608665,501303,SI,94.3,2173.0,-1.24,54.1,5.79,-1.33,1.09,-0.94,3.19,11.0,,foul,74.2,39.0,247.0,94.2,218.0,L,R
660911,2021-10-31,9,Bot,608665,501303,SI,94.0,2163.0,-1.16,54.13,5.77,-1.31,1.02,-0.01,3.36,2.0,,called_strike,,,,94.0,220.0,L,R
660911,2021-10-31,9,Bot,608665,501303,SI,95.7,2266.0,-1.21,54.1,5.77,-1.4,1.02,-0.66,3.68,11.0,,ball,,,,95.8,218.0,L,R
660911,2021-10-31,9,Bot,608665,501303,FF,94.1,2382.0,-1.16,54.27,5.78,-0.62,1.4,0.44,4.41,12.0,,ball,,,,93.8,215.0,L,R
660911,2021-10-31,9,Bot,608665,501303,CU,81.1,2443.0,-1.12,54.34,5.91,0.6,-0.8,-1.19,3.54,11.0,,ball,,,,80.8,57.0,L,R
660911,2021-10-31,9,Bot,608665,621020,CU,83.7,2549.0,-1.28,54.27,5.87,0.55,-0.42,0.67,2.91,3.0,field_out,hit_into_play,87.7,49.0,245.0,83.4,83.0,R,R
660911,2021-10-31,9,Bot,608665,621020,SI,94.6,2205.0,-1.09,54.26,5.86,-1.39,1.05,-0.21,2.87,5.0,,called_strike,,,,94.3,216.0,R,R
660911,2021-10-31,9,Bot,608665,621020,SI,94.4,2173.0,-1.37,54.24,5.91,-1.36,1.17,-0.74,3.05,1.0,,ball,,,,94.1,213.0,R,R
660911,2021-10-31,9,Top,592767,608665,FC,87.6,1962.0,1.82,54.54,6.6,0.6,1.58,0.14,1.84,8.0,strikeout,called_strike,,,,87.0,149.0,R,L
660911,2021-10-31,9,Top,592767,608665,FC,88.3,1951.0,1.85,54.62,6.62,0.74,1.41,1.1,2.13,14.0,,ball,,,,87.6,151.0,R,L
660911,2021-10-31,9,Top,592767,608665,FC,88.0,2025.0,1.86,54.43,6.64,0.48,1.47,0.32,1.08,14.0,,ball,,,,87.6,156.0,R,L
660911,2021-10-31,9,Top,592767,608665,KC,78.0,2027.0,2.11,54.68,6.59,0.09,0.2,0.3,1.08,14.0,,ball,,,,77.2,78.0,R,L
660911,2021-10-31,9,Top,592767,608665,SI,89.8,2128.0,1.81,54.51,6.65,0.7,1.7,0.54,1.79,9.0,,called_strike,,,,89.0,150.0,R,L
660911,2021-10-31,9,Top,592767,608665,SI,88.9,1992.0,1.9,54.49,6.58,0.7,1.54,0.7,2.21,9.0,,called_strike,,,,88.2,143.0,R,L
660911,2021-10-31,9,Top,592767,455117,KC,79.4,2060.0,2.08,54.71,6.56,-0.03,0.06,-0.31,0.98,13.0,strikeout,swinging_strike,,,,78.4,72.0,R,L
660911,2021-10-31,9,Top,592767,455117,KC,79.3,2198.0,2.17,54.73,6.54,0.42,0.0,0.22,2.38,5.0,,foul,69.7,-21.0,7.0,78.7,43.0,R,L
660911,2021-10-31,9,Top,592767,455117,KC,78.3,2088.0,2.09,54.65,6.5,0.11,0.2,0.01,0.53,14.0,,swinging_strike,,,,77.3,88.0,R,L
660911,2021-10-31,9,Top,592767,455117,FC,86.7,1899.0,1.98,54.45,6.58,0.35,0.98,0.17,0.78,14.0,,ball,,,,86.3,137.0,R,L
660911,2021-10-31,9,Top,592767,455117,SI,89.7,2085.0,1.82,54.49,6.66,0.26,1.77,0.07,2.63,5.0,,called_strike,,,,88.8,150.0,R,L
660911,2021-10-31,9,Top,592767,455117,KC,78.6,2055.0,1.99,54.7,6.6,0.22,0.33,-1.17,1.49,13.0,,ball,,,,77.6,62.0,R,L
660911,2021-10-31,9,Top,592767,608324,KC,78.0,1988.0,2.13,54.6,6.57,0.08,0.16,0.3,1.63,9.0,field_out,hit_into_play,77.3,-30.0,3.0,77.4,95.0,R,L
660911,2021-10-31,9,Top,592767,608324,KC,77.8,2092.0,2.13,54.66,6.57,0.2,0.31,-0.18,1.45,13.0,,ball,,,,77.1,74.0,R,L
660911,2021-10-31,9,Top,592767,608324,SI,89.6,1995.0,1.83,54.43,6.66,0.25,1.65,0.24,2.15,5.0,,called_strike,,,,89.0,149.0,R,L
660911,2021-10-31,8,Bot,608665,518595,SL,86.7,2702.0,-1.11,54.35,5.93,0.52,-0.39,0.16,3.49,2.0,strikeout,swinging_strike,,,,86.5,68.0,R,R
660911,2021-10-31,8,Bot,608665,518595,SI,96.7,2301.0,-1.12,54.05,5.81,-1.38,0.97,1.27,2.17,14.0,,ball,,,,96.7,216.0,R,R
660911,2021-10-31,8,Bot,608665,518595,SI,94.3,2180.0,-1.03,54.09,5.76,-1.34,1.02,1.06,1.54,14.0,,called_strike,,,,94.2,219.0,R,R
660911,2021-10-31,8,Bot,608665,518595,SL,86.0,2682.0,-1.19,54.31,5.84,0.5,-0.35,1.04,1.57,14.0,,swinging_strike,,,,85.7,38.0,R,R
660911,2021-10-31,8,Bot,608665,518595,SL,87.1,2576.0,-1.17,54.11,5.77,0.58,-0.33,2.06,0.81,14.0,,ball,,,,87.0,82.0,R,R
660911,2021-10-31,8,Bot,608665,594807,SL,85.6,2406.0,-1.14,54.14,5.78,0.45,-0.42,0.77,2.54,6.0,field_out,hit_into_play,66.6,-48.0,2.0,85.6,57.0,R,R
660911,2021-10-31,8,Bot,608665,594807,SI,96.0,2251.0,-1.09,54.28,5.84,-1.08,1.12,-0.58,2.78,4.0,,foul,79.9,76.0,191.0,95.7,214.0,R,R
660911,2021-10-31,8,Bot,608665,594807,SI,97.4,2244.0,-1.05,54.34,5.93,-1.15,1.02,-0.9,4.27,11.0,,ball,,,,97.0,213.0,R,R
660911,2021-10-31,8,Bot,608665,594807,SI,96.4,2324.0,-1.09,54.19,5.87,-1.2,1.06,0.14,3.08,2.0,,swinging_strike,,,,96.2,219.0,R,R
660911,2021-10-31,8,Bot,608665,594807,SL,85.6,2518.0,-1.28,54.23,5.83,0.35,0.13,0.42,2.28,6.0,,called_strike,,,,85.5,76.0,R,R
660911,2021-10-31,8,Bot,608665,592696,FF,95.8,2275.0,-1.13,54.16,5.83,-0.57,1.47,0.16,3.5,2.0,field_out,hit_into_play,89.6,39.0,318.0,95.9,219.0,L,R
660911,2021-10-31,8,Bot,608665,592696,FF,96.5,2341.0,-1.16,54.11,5.77,-1.01,1.33,0.35,0.56,14.0,,blocked_ball,,,,95.7,220.0,L,R
660911,2021-10-31,8,Bot,608665,592696,SI,95.1,2192.0,-1.13,54.16,5.77,-1.29,0.99,-0.44,2.18,4.0,,foul,,,,95.0,215.0,L,R
660911,2021-10-31,8,Bot,608665,592696,CU,83.1,2557.0,-1.05,54.1,5.87,0.87,-0.41,0.67,0.26,14.0,,blocked_ball,,,,82.7,43.0,L,R
660911,2021-10-31,8,Bot,608665,592696,FF,96.5,2367.0,-1.45,54.28,5.85,-0.81,1.52,-2.11,4.12,11.0,,ball,,,,95.9,216.0,L,R
660911,2021-10-31,8,Bot,608665,592696,FF,96.1,2353.0,-1.33,54.26,5.83,-0.77,1.51,0.26,2.72,5.0,,foul,76.0,72.0,129.0,95.5,218.0,L,R
660911,2021-10-31,8,Bot,608665,592696,FF,97.1,2281.0,-1.19,54.23,5.83,-0.73,1.43,0.47,2.55,6.0,,swinging_strike,,,,96.8,211.0,L,R
660911,2021-10-31,8,Bot,608665,592696,CU,82.1,2238.0,-0.98,54.16,5.91,0.32,-0.41,-0.32,2.79,1.0,,called_strike,,,,82.1,47.0,L,R
