hitter_archetype,pitcher_archetype,total_pitches,zone_distribution
Contact Hitter,High Spin,24188,"{""14.0"": 0.30229866049280635, ""13.0"": 0.12121713246237804, ""11.0"": 0.07168844054903258, ""9.0"": 0.06800893004795766, ""12.0"": 0.06573507524392261, ""5.0"": 0.06416404828840748, ""8.0"": 0.05907888209029271, ""6.0"": 0.05878948238796097, ""4.0"": 0.04560112452455763, ""7.0"": 0.04154952869191335, ""2.0"": 0.03919298825864065, ""3.0"": 0.03154456755415909, ""1.0"": 0.031131139407970895}"
Power Hitter,Average Spin,7852,"{""5.0"": 0.18886907794192562, ""8.0"": 0.14467651553744268, ""4.0"": 0.11614875191034131, ""6.0"": 0.11538461538461539, ""7.0"": 0.07883341823739175, ""2.0"": 0.07424859908303617, ""9.0"": 0.0728476821192053, ""3.0"": 0.04546612328069282, ""13.0"": 0.04368313805399898, ""1.0"": 0.043301069791136015, ""14.0"": 0.03731533367294957, ""12.0"": 0.019740193581253184, ""11.0"": 0.019485481406011206}"
Power Hitter,High Spin,1729,"{""5.0"": 0.18970503181029497, ""8.0"": 0.16194331983805668, ""6.0"": 0.13013302486986697, ""9.0"": 0.1139386928860613, ""4.0"": 0.09369577790630422, ""7.0"": 0.07692307692307693, ""14.0"": 0.05610179294389821, ""2.0"": 0.055523423944476576, ""3.0"": 0.035280508964719494, ""13.0"": 0.032388663967611336, ""1.0"": 0.027183342972816656, ""12.0"": 0.01735106998264893, ""11.0"": 0.009832272990167727}"
Contact Hitter,Average Spin,87635,"{""14.0"": 0.17877764338042312, ""13.0"": 0.137252664490951, ""11.0"": 0.1271196111098432, ""12.0"": 0.09788438277380926, ""5.0"": 0.06421023803546569, ""4.0"": 0.057683091037725086, ""6.0"": 0.05605130428828993, ""8.0"": 0.053940251500559144, ""2.0"": 0.05041422279024123, ""9.0"": 0.050049067713444556, ""7.0"": 0.04506241869593993, ""1.0"": 0.044640208138393776, ""3.0"": 0.036914896044914075}"
Contact Hitter,High Spin,16630,"{""14.0"": 0.31244738424533974, ""13.0"": 0.1254359591100421, ""11.0"": 0.07546602525556223, ""9.0"": 0.06644618159951894, ""12.0"": 0.06259771497294046, ""5.0"": 0.061996392062537584, ""8.0"": 0.060072158749248344, ""6.0"": 0.057005411906193626, ""4.0"": 0.043776307877330126, ""7.0"": 0.04113048707155743, ""2.0"": 0.035357787131689716, ""3.0"": 0.029464822609741433, ""1.0"": 0.028803367408298256}"
Power Hitter,Average Spin,7779,"{""5.0"": 0.19282684149633628, ""8.0"": 0.13793546728371256, ""4.0"": 0.11736727085743669, ""6.0"": 0.10721172387196298, ""7.0"": 0.08600077130736598, ""2.0"": 0.08163002956678236, ""9.0"": 0.06941766293868107, ""3.0"": 0.04717830055277028, ""1.0"": 0.04473582722715002, ""13.0"": 0.03727985602262501, ""14.0"": 0.02943823113510734, ""12.0"": 0.024938938166859492, ""11.0"": 0.024039079573209925}"
Power Hitter,High Spin,1164,"{""5.0"": 0.21219931271477663, ""8.0"": 0.15893470790378006, ""6.0"": 0.1134020618556701, ""4.0"": 0.09707903780068729, ""9.0"": 0.09536082474226804, ""7.0"": 0.08676975945017182, ""2.0"": 0.04896907216494845, ""14.0"": 0.044673539518900345, ""13.0"": 0.04381443298969072, ""1.0"": 0.03436426116838488, ""3.0"": 0.03006872852233677, ""12.0"": 0.020618556701030927, ""11.0"": 0.013745704467353952}"
Contact Hitter,Average Spin,95509,"{""14.0"": 0.17804893429184007, ""13.0"": 0.13864716021356202, ""11.0"": 0.1263925673687308, ""12.0"": 0.09884600832387438, ""5.0"": 0.06429982763694454, ""4.0"": 0.05658552991129608, ""6.0"": 0.056511960314457474, ""8.0"": 0.05316979862950351, ""9.0"": 0.049943246311010214, ""2.0"": 0.04918653045781309, ""7.0"": 0.04571824946399294, ""1.0"": 0.04418379787278766, ""3.0"": 0.038466389204187164}"
Contact Hitter,High Spin,16138,"{""14.0"": 0.315466600570083, ""13.0"": 0.13471309951666874, ""11.0"": 0.07020696492750031, ""9.0"": 0.0662411699095303, ""12.0"": 0.060912132854133105, ""8.0"": 0.060106580741107946, ""5.0"": 0.05756599330772091, ""6.0"": 0.054033957119841367, ""4.0"": 0.04820919568719792, ""7.0"": 0.03891436361383071, ""2.0"": 0.03606394844466477, ""1.0"": 0.029681497087619284, ""3.0"": 0.027884496220101623}"
Power Hitter,Average Spin,8368,"{""5.0"": 0.20088432122370936, ""8.0"": 0.14077437858508604, ""4.0"": 0.12380497131931166, ""6.0"": 0.10647705544933078, ""7.0"": 0.08006692160611854, ""2.0"": 0.07755736137667305, ""9.0"": 0.07660133843212237, ""3.0"": 0.04457456978967495, ""1.0"": 0.03955544933078394, ""14.0"": 0.03369980879541109, ""13.0"": 0.033580305927342256, ""11.0"": 0.02354206500956023, ""12.0"": 0.018881453154875716}"
Power Hitter,High Spin,1076,"{""5.0"": 0.17193308550185873, ""8.0"": 0.15985130111524162, ""9.0"": 0.13197026022304834, ""6.0"": 0.12453531598513011, ""4.0"": 0.09014869888475836, ""7.0"": 0.07713754646840149, ""2.0"": 0.05390334572490706, ""14.0"": 0.05297397769516728, ""13.0"": 0.039962825278810406, ""3.0"": 0.03810408921933085, ""1.0"": 0.024163568773234202, ""11.0"": 0.017657992565055763, ""12.0"": 0.017657992565055763}"
Contact Hitter,Average Spin,85492,"{""14.0"": 0.18139812366937277, ""13.0"": 0.13509814472545212, ""11.0"": 0.11889666144163957, ""12.0"": 0.09324333809044756, ""5.0"": 0.0645485810542077, ""8.0"": 0.058091383384413824, ""4.0"": 0.056465386145099786, ""6.0"": 0.056161242776595, ""9.0"": 0.05296773740729476, ""2.0"": 0.05076854689656786, ""7.0"": 0.04718901340570386, ""1.0"": 0.045703390028776644, ""3.0"": 0.03946845097442856}"
Contact Hitter,High Spin,21701,"{""14.0"": 0.3097553108151698, ""13.0"": 0.11202248744297498, ""11.0"": 0.07870605041242339, ""9.0"": 0.06690935901571356, ""5.0"": 0.062485599741947374, ""12.0"": 0.06078060918851666, ""8.0"": 0.05953642689276992, ""6.0"": 0.05815400211971799, ""4.0"": 0.04792405879913368, ""2.0"": 0.042486521358462745, ""7.0"": 0.03861573199391733, ""1.0"": 0.032579143818257224, ""3.0"": 0.030044698400995346}"
Power Hitter,Average Spin,7620,"{""5.0"": 0.20026246719160104, ""8.0"": 0.14146981627296587, ""4.0"": 0.1162729658792651, ""6.0"": 0.10879265091863517, ""2.0"": 0.08057742782152232, ""7.0"": 0.07703412073490813, ""9.0"": 0.07139107611548556, ""1.0"": 0.046062992125984255, ""3.0"": 0.04514435695538058, ""13.0"": 0.03661417322834646, ""14.0"": 0.03320209973753281, ""11.0"": 0.022440944881889763, ""12.0"": 0.02073490813648294}"
Power Hitter,High Spin,1561,"{""5.0"": 0.19282511210762332, ""8.0"": 0.17680973734785393, ""6.0"": 0.11659192825112108, ""9.0"": 0.11659192825112108, ""4.0"": 0.09224855861627163, ""7.0"": 0.06726457399103139, ""14.0"": 0.06278026905829596, ""2.0"": 0.05637411915438821, ""13.0"": 0.032030749519538756, ""3.0"": 0.029468289557975657, ""1.0"": 0.026905829596412557, ""12.0"": 0.019218449711723255, ""11.0"": 0.010890454836643177}"
Contact Hitter,Average Spin,8140,"{""14"": 0.1628992628992629, ""13"": 0.14557739557739557, ""11"": 0.14078624078624077, ""12"": 0.10024570024570024, ""5"": 0.060073710073710075, ""2"": 0.05663390663390663, ""8"": 0.054914004914004916, ""4"": 0.05393120393120393, ""9"": 0.04877149877149877, ""1"": 0.047788697788697786, ""6"": 0.046191646191646195, ""7"": 0.04508599508599508, ""3"": 0.0371007371007371}"
Contact Hitter,High Spin,3610,"{""14"": 0.281994459833795, ""13"": 0.11883656509695291, ""11"": 0.1038781163434903, ""12"": 0.07645429362880886, ""9"": 0.06398891966759003, ""5"": 0.05900277008310249, ""8"": 0.05457063711911357, ""4"": 0.050415512465373964, ""6"": 0.049307479224376734, ""2"": 0.043490304709141274, ""7"": 0.03628808864265928, ""1"": 0.03102493074792244, ""3"": 0.03074792243767313}"
Power Hitter,Average Spin,759,"{""5"": 0.17786561264822134, ""8"": 0.13175230566534915, ""4"": 0.11198945981554677, ""6"": 0.10013175230566534, ""7"": 0.0922266139657444, ""2"": 0.09090909090909091, ""9"": 0.06587615283267458, ""1"": 0.06455862977602109, ""3"": 0.05138339920948617, ""11"": 0.034255599472990776, ""13"": 0.030303030303030304, ""12"": 0.02766798418972332, ""14"": 0.021080368906455864}"
Power Hitter,High Spin,277,"{""6"": 0.16967509025270758, ""8"": 0.1444043321299639, ""5"": 0.1371841155234657, ""4"": 0.1299638989169675, ""9"": 0.07942238267148015, ""7"": 0.07581227436823104, ""2"": 0.061371841155234655, ""3"": 0.04693140794223827, ""14"": 0.04332129963898917, ""12"": 0.036101083032490974, ""13"": 0.032490974729241874, ""11"": 0.021660649819494584, ""1"": 0.021660649819494584}"
Contact Hitter,Average Spin,81644,"{""14"": 0.16685855666062419, ""13"": 0.13361667728185783, ""11"": 0.13203664690608005, ""12"": 0.09921120964185978, ""5"": 0.064622017539562, ""4"": 0.05701582480035275, ""6"": 0.054590661897996176, ""8"": 0.05429670275831659, ""2"": 0.053794522561363974, ""9"": 0.0504507373475087, ""1"": 0.047143697026113374, ""7"": 0.044645044338836905, ""3"": 0.041717701239527706}"
Contact Hitter,High Spin,22457,"{""14"": 0.2908224607026762, ""13"": 0.1229460747205771, ""11"": 0.0859865520773033, ""12"": 0.06639355212183283, ""9"": 0.06474595894375919, ""5"": 0.06100547713407846, ""8"": 0.05833370441287795, ""6"": 0.057487643051164446, ""4"": 0.04773567261878256, ""7"": 0.041323418087901326, ""2"": 0.03807276127710736, ""1"": 0.03459945673954669, ""3"": 0.030547268112392573}"
Power Hitter,Average Spin,7172,"{""5"": 0.20273284997211377, ""8"": 0.14375348577802566, ""4"": 0.113218070273285, ""6"": 0.11238148354712772, ""2"": 0.08477412158393753, ""7"": 0.0715281650864473, ""9"": 0.07083100948131622, ""1"": 0.04754601226993865, ""3"": 0.04433909648633575, ""13"": 0.03513664249860569, ""14"": 0.031372002230897936, ""11"": 0.024958170663692138, ""12"": 0.01742889012827663}"
Power Hitter,High Spin,1603,"{""5"": 0.17779164067373673, ""8"": 0.17280099812850905, ""6"": 0.1291328758577667, ""9"": 0.1091703056768559, ""4"": 0.07860262008733625, ""7"": 0.07298814722395508, ""2"": 0.06363069245165315, ""14"": 0.061759201497192766, ""3"": 0.048658764815970056, ""13"": 0.02994385527136619, ""1"": 0.028072364316905803, ""12"": 0.015595757953836557, ""11"": 0.011852776044915784}"
Contact Hitter,Average Spin,85980,"{""14"": 0.18282158641544546, ""13"": 0.13961386368923007, ""11"": 0.11980693184461502, ""12"": 0.09506862060944406, ""5"": 0.06560828099558037, ""8"": 0.05693184461502675, ""6"": 0.05638520586182833, ""4"": 0.05612933240288439, ""9"": 0.053303093742730866, ""2"": 0.04829030006978367, ""7"": 0.04634798790416376, ""1"": 0.04076529425447779, ""3"": 0.038927657594789486}"
Contact Hitter,High Spin,26462,"{""14"": 0.282216007860328, ""13"": 0.11669563902955181, ""11"": 0.09432393621041493, ""12"": 0.070554001965082, ""5"": 0.06318494444864334, ""9"": 0.06231577356208903, ""6"": 0.06023732144206787, ""8"": 0.05547577658529212, ""4"": 0.04750207845212002, ""2"": 0.04304285390371098, ""7"": 0.036618547350918296, ""1"": 0.035787166502909834, ""3"": 0.03204595268687174}"
Power Hitter,Average Spin,7440,"{""5"": 0.19301075268817205, ""8"": 0.1461021505376344, ""4"": 0.11586021505376344, ""6"": 0.11438172043010753, ""9"": 0.08051075268817204, ""7"": 0.07916666666666666, ""2"": 0.07432795698924731, ""1"": 0.04314516129032258, ""3"": 0.038306451612903226, ""13"": 0.038172043010752686, ""14"": 0.03508064516129032, ""12"": 0.021908602150537634, ""11"": 0.020026881720430108}"
Power Hitter,High Spin,1873,"{""5"": 0.17565403096636412, ""8"": 0.1398825413774693, ""6"": 0.13561131873998933, ""9"": 0.10464495461825948, ""4"": 0.1009076348104645, ""2"": 0.07474639615589963, ""7"": 0.05872931126534971, ""14"": 0.046983449012279764, ""13"": 0.04538174052322477, ""3"": 0.039508809396689805, ""1"": 0.03310197544046983, ""12"": 0.024559530165509876, ""11"": 0.0202883075280299}"
Contact Hitter,Average Spin,178,"{""14"": 0.15730337078651685, ""11"": 0.1404494382022472, ""13"": 0.11235955056179775, ""12"": 0.08426966292134831, ""7"": 0.07865168539325842, ""6"": 0.07303370786516854, ""5"": 0.06741573033707865, ""4"": 0.06741573033707865, ""8"": 0.05056179775280899, ""9"": 0.05056179775280899, ""2"": 0.05056179775280899, ""3"": 0.03932584269662921, ""1"": 0.028089887640449437}"
Contact Hitter,High Spin,69,"{""14"": 0.2753623188405797, ""6"": 0.13043478260869565, ""13"": 0.13043478260869565, ""11"": 0.08695652173913043, ""4"": 0.08695652173913043, ""12"": 0.057971014492753624, ""5"": 0.057971014492753624, ""9"": 0.043478260869565216, ""7"": 0.043478260869565216, ""8"": 0.043478260869565216, ""2"": 0.028985507246376812, ""3"": 0.014492753623188406}"
Power Hitter,Average Spin,14,"{""4"": 0.2857142857142857, ""8"": 0.21428571428571427, ""6"": 0.14285714285714285, ""5"": 0.07142857142857142, ""2"": 0.07142857142857142, ""13"": 0.07142857142857142, ""7"": 0.07142857142857142, ""9"": 0.07142857142857142}"
Power Hitter,High Spin,10,"{""8"": 0.3, ""5"": 0.3, ""2"": 0.2, ""9"": 0.2}"
Contact Hitter,Average Spin,17185,"{""14.0"": 0.19000232774674117, ""13.0"": 0.1336126629422719, ""11.0"": 0.12121741154562383, ""12.0"": 0.09281890130353818, ""5.0"": 0.0647695530726257, ""6.0"": 0.05697160148975791, ""8.0"": 0.05574953445065177, ""4.0"": 0.0550512104283054, ""9.0"": 0.052025139664804466, ""2.0"": 0.048475325884543764, ""7.0"": 0.046496741154562385, ""1.0"": 0.04224860335195531, ""3.0"": 0.04056098696461825}"
Contact Hitter,High Spin,4538,"{""14.0"": 0.2970471573380344, ""13.0"": 0.1364037020713971, ""11.0"": 0.07844865579550463, ""5.0"": 0.06985456148082855, ""12.0"": 0.06765094755398854, ""8.0"": 0.05905685323931247, ""9.0"": 0.05575143234905244, ""6.0"": 0.05354781842221243, ""4.0"": 0.04605553107095637, ""7.0"": 0.03944468929043632, ""2.0"": 0.0379021595416483, ""1.0"": 0.03239312472454826, ""3.0"": 0.026443367122080213}"
Power Hitter,Average Spin,1608,"{""5.0"": 0.18407960199004975, ""6.0"": 0.12686567164179105, ""8.0"": 0.125, ""4.0"": 0.1150497512437811, ""2.0"": 0.08644278606965174, ""9.0"": 0.07835820895522388, ""7.0"": 0.06529850746268656, ""1.0"": 0.04975124378109453, ""3.0"": 0.043532338308457715, ""14.0"": 0.03731343283582089, ""12.0"": 0.03296019900497513, ""13.0"": 0.030472636815920398, ""11.0"": 0.024875621890547265}"
Power Hitter,High Spin,293,"{""5.0"": 0.18430034129692832, ""8.0"": 0.16040955631399317, ""6.0"": 0.14334470989761092, ""9.0"": 0.09897610921501707, ""7.0"": 0.06825938566552901, ""4.0"": 0.05802047781569966, ""14.0"": 0.05802047781569966, ""2.0"": 0.05460750853242321, ""13.0"": 0.05460750853242321, ""3.0"": 0.04778156996587031, ""1.0"": 0.04436860068259386, ""12.0"": 0.017064846416382253, ""11.0"": 0.010238907849829351}"
Contact Hitter,Average Spin,79300,"{""14.0"": 0.17898081943025762, ""13.0"": 0.1397873869783982, ""11.0"": 0.121565215198174, ""12.0"": 0.09312853882142272, ""5.0"": 0.06470447294417332, ""4.0"": 0.058600991185260846, ""8.0"": 0.05653286926695166, ""6.0"": 0.05530965081526879, ""9.0"": 0.05242184642933707, ""2.0"": 0.049281832053367634, ""7.0"": 0.04908006406133747, ""1.0"": 0.04365754927552681, ""3.0"": 0.036948763540523843}"
Contact Hitter,High Spin,23834,"{""14.0"": 0.2798523118234455, ""13.0"": 0.11806662750692289, ""11.0"": 0.09402534194847696, ""12.0"": 0.06956448770663758, ""9.0"": 0.06457162037425526, ""5.0"": 0.060711588487035326, ""6.0"": 0.05848787446504993, ""8.0"": 0.05517328186624151, ""4.0"": 0.045984727699924476, ""2.0"": 0.04300579004783083, ""7.0"": 0.03847444826718134, ""1.0"": 0.0383485776621633, ""3.0"": 0.03373332214483511}"
Power Hitter,Average Spin,6739,"{""5.0"": 0.194984419053272, ""8.0"": 0.15358361774744028, ""4.0"": 0.1246475738240095, ""6.0"": 0.10520848790621753, ""7.0"": 0.08042736311025375, ""2.0"": 0.07775634367116784, ""9.0"": 0.07093040510461493, ""1.0"": 0.04036207152396498, ""13.0"": 0.03887817183558392, ""3.0"": 0.038729781866745805, ""14.0"": 0.031161893456002374, ""11.0"": 0.022703665232230302, ""12.0"": 0.020626205668496808}"
Power Hitter,High Spin,1694,"{""5.0"": 0.17650531286894924, ""8.0"": 0.1717827626918536, ""6.0"": 0.10684769775678866, ""4.0"": 0.10153482880755609, ""9.0"": 0.08795749704840614, ""7.0"": 0.07615112160566706, ""2.0"": 0.07201889020070838, ""14.0"": 0.05194805194805195, ""3.0"": 0.04073199527744982, ""1.0"": 0.04014167650531287, ""13.0"": 0.03659976387249114, ""12.0"": 0.021251475796930343, ""11.0"": 0.01652892561983471}"
Contact Hitter,Average Spin,88023,"{""14.0"": 0.1708680926511036, ""13.0"": 0.13266883367808516, ""11.0"": 0.1307480735571568, ""12.0"": 0.09728820494169527, ""5.0"": 0.06476030277544155, ""4.0"": 0.05698633873570795, ""6.0"": 0.05655445184461164, ""8.0"": 0.05489509694724161, ""9.0"": 0.0515991180415066, ""2.0"": 0.05026936103471007, ""7.0"": 0.04687109312845225, ""1.0"": 0.04571181778919373, ""3.0"": 0.04077921487509376}"
Contact Hitter,High Spin,23451,"{""14.0"": 0.29840944949042686, ""13.0"": 0.12340625133256578, ""11.0"": 0.08383437806490128, ""12.0"": 0.06852586243656987, ""9.0"": 0.06502920984179779, ""8.0"": 0.059400452006311034, ""5.0"": 0.059315167796682444, ""6.0"": 0.05598908362116754, ""4.0"": 0.046181399513880006, ""7.0"": 0.04025414694469319, ""2.0"": 0.039017525905078676, ""1.0"": 0.030787599675920003, ""3.0"": 0.029849473370005545}"
Power Hitter,Average Spin,7880,"{""5.0"": 0.19949238578680203, ""8.0"": 0.14073604060913705, ""4.0"": 0.11586294416243655, ""6.0"": 0.10685279187817259, ""7.0"": 0.08210659898477157, ""2.0"": 0.08109137055837563, ""9.0"": 0.06878172588832487, ""3.0"": 0.046700507614213196, ""1.0"": 0.04530456852791878, ""13.0"": 0.0383248730964467, ""14.0"": 0.029949238578680204, ""11.0"": 0.023477157360406092, ""12.0"": 0.02131979695431472}"
Power Hitter,High Spin,1697,"{""5.0"": 0.18680023571007662, ""8.0"": 0.16499705362404243, ""6.0"": 0.1314083677077195, ""9.0"": 0.10960518562168532, ""4.0"": 0.07542722451384797, ""7.0"": 0.07307012374779022, ""2.0"": 0.0695344725987036, ""14.0"": 0.050677666470241606, ""3.0"": 0.03830288744843842, ""13.0"": 0.030053034767236298, ""1.0"": 0.027106658809664112, ""12.0"": 0.02357100766057749, ""11.0"": 0.019446081319976428}"
Contact Hitter,Average Spin,88161,"{""14"": 0.1734440398815803, ""13"": 0.1380428987874457, ""11"": 0.1275167023967514, ""12"": 0.09736731661392226, ""5"": 0.06580007032588106, ""6"": 0.056476219643606586, ""8"": 0.056283390614897746, ""4"": 0.05589773255748007, ""9"": 0.0510202924195506, ""2"": 0.04901260194417033, ""7"": 0.04698222570070666, ""1"": 0.043522646067989244, ""3"": 0.03863386304601808}"
Contact Hitter,High Spin,18907,"{""14"": 0.2931718411170466, ""13"": 0.12476860422065901, ""11"": 0.09467393029036865, ""12"": 0.0653726133178188, ""9"": 0.06484370867932512, ""5"": 0.06029512878827947, ""8"": 0.057967948378907286, ""6"": 0.05151531178928439, ""4"": 0.04511556566351087, ""7"": 0.04125456180250701, ""2"": 0.03855714814618924, ""1"": 0.03395567779129423, ""3"": 0.02850796001480933}"
Power Hitter,Average Spin,7828,"{""5"": 0.19455799693408277, ""8"": 0.14269289729177312, ""4"": 0.11918753193663771, ""6"": 0.11548288196218702, ""7"": 0.08827286663260092, ""9"": 0.07370975983648441, ""2"": 0.06655595298926929, ""3"": 0.04535002554931017, ""13"": 0.04215636177823199, ""1"": 0.04164537557485948, ""14"": 0.029892692897291774, ""11"": 0.020567194685743483, ""12"": 0.01992846193152785}"
Power Hitter,High Spin,1321,"{""5"": 0.18319454958364875, ""8"": 0.17108251324753973, ""6"": 0.11884935654806965, ""4"": 0.10673732021196064, ""9"": 0.10143830431491295, ""2"": 0.06888720666161999, ""7"": 0.06888720666161999, ""14"": 0.04617713853141559, ""1"": 0.03936411809235428, ""3"": 0.03785011355034065, ""13"": 0.024224072672218017, ""12"": 0.021196063588190765, ""11"": 0.012112036336109008}"
Contact Hitter,Average Spin,84756,"{""14.0"": 0.18160794770748284, ""13.0"": 0.13788139792812137, ""11.0"": 0.12338060740496024, ""12.0"": 0.09743492932486962, ""5.0"": 0.06417396229086533, ""6.0"": 0.0573306274630106, ""4.0"": 0.05694126530901197, ""8.0"": 0.053708379545508174, ""9.0"": 0.0525756896429667, ""2.0"": 0.048729263515586284, ""7.0"": 0.04653467682941218, ""1.0"": 0.04147296882742997, ""3.0"": 0.03822828421077471}"
Contact Hitter,High Spin,15234,"{""14.0"": 0.31679138768544046, ""13.0"": 0.1251805172640147, ""11.0"": 0.07437311277405803, ""9.0"": 0.06925298674018643, ""8.0"": 0.06150715504791913, ""12.0"": 0.05907837731390311, ""6.0"": 0.05888144938952344, ""5.0"": 0.05861887882368386, ""4.0"": 0.045359065248785614, ""7.0"": 0.038991729027176056, ""2.0"": 0.038007089405277666, ""3.0"": 0.027438624130235, ""1.0"": 0.02651962714979651}"
Power Hitter,Average Spin,7371,"{""5.0"": 0.18844118844118843, ""8.0"": 0.14557047890381225, ""4.0"": 0.11748745082078416, ""6.0"": 0.11504544837878171, ""7.0"": 0.0778727445394112, ""9.0"": 0.07488807488807489, ""2.0"": 0.07081807081807082, ""3.0"": 0.04436304436304436, ""13.0"": 0.04395604395604396, ""1.0"": 0.04137837471170804, ""14.0"": 0.034730701397368065, ""12.0"": 0.023606023606023607, ""11.0"": 0.02184235517568851}"
Power Hitter,High Spin,971,"{""8.0"": 0.18125643666323377, ""5.0"": 0.17816683831101957, ""6.0"": 0.11328527291452112, ""9.0"": 0.11328527291452112, ""4.0"": 0.09474768280123584, ""7.0"": 0.08444902162718847, ""14.0"": 0.06488156539649846, ""2.0"": 0.05046343975283213, ""13.0"": 0.037075180226570546, ""3.0"": 0.028836251287332648, ""1.0"": 0.02059732234809475, ""12.0"": 0.018537590113285273, ""11.0"": 0.014418125643666324}"
Contact Hitter,Average Spin,84719,"{""14"": 0.17755167081764422, ""13"": 0.13476315820536125, ""11"": 0.1305256199907931, ""12"": 0.09479573649358468, ""5"": 0.06434211924125639, ""4"": 0.055324071341729716, ""8"": 0.05525324897602663, ""6"": 0.05455682904661292, ""9"": 0.052727251265949786, ""2"": 0.05118096294809901, ""7"": 0.04720310674110884, ""1"": 0.044547268027243, ""3"": 0.03722895690459047}"
Contact Hitter,High Spin,21190,"{""14"": 0.297215667767815, ""13"": 0.11821613968853233, ""11"": 0.07989617744218971, ""12"": 0.07008022652194432, ""5"": 0.06394525719679094, ""9"": 0.0632373761208117, ""8"": 0.05889570552147239, ""6"": 0.05667767815007079, ""4"": 0.04695611137328929, ""2"": 0.04049079754601227, ""7"": 0.03879188296366211, ""3"": 0.033836715431807454, ""1"": 0.0317602642756017}"
Power Hitter,Average Spin,7729,"{""5"": 0.19122784318799327, ""8"": 0.14296804243757277, ""4"": 0.11553887954457238, ""6"": 0.10428257213093543, ""2"": 0.0830637857420106, ""7"": 0.08280502005434079, ""9"": 0.06585586751196791, ""1"": 0.05020054340794411, ""3"": 0.04593090956139216, ""13"": 0.04230818993401475, ""14"": 0.02949928839435891, ""11"": 0.026394100142321127, ""12"": 0.019924957950575754}"
Power Hitter,High Spin,1531,"{""5"": 0.18941868060091444, ""8"": 0.1743958197256695, ""6"": 0.12344872632266493, ""9"": 0.10189418680600915, ""4"": 0.0953625081645983, ""2"": 0.06466361854996734, ""7"": 0.06401045068582625, ""14"": 0.05225342913128674, ""13"": 0.040496407576747225, ""3"": 0.039843239712606136, ""1"": 0.022860875244937948, ""12"": 0.016329196603527107, ""11"": 0.015022860875244938}"
Contact Hitter,Average Spin,78944,"{""14.0"": 0.17455940839379425, ""11.0"": 0.1322981918908273, ""13.0"": 0.13192970864410872, ""12.0"": 0.09481455127634973, ""5.0"": 0.06537401049541937, ""4.0"": 0.05814411506842353, ""8.0"": 0.05606027877663562, ""6.0"": 0.055183542775822415, ""2.0"": 0.05273122323731592, ""9.0"": 0.05035514161192361, ""1.0"": 0.04499307505622546, ""7.0"": 0.04420528328737881, ""3.0"": 0.039351469485775274}"
Contact Hitter,High Spin,20323,"{""14.0"": 0.3073365152782562, ""13.0"": 0.1248339319982286, ""11.0"": 0.07986025685184274, ""9.0"": 0.06603355803769129, ""8.0"": 0.06185110465974512, ""12.0"": 0.06047335531171579, ""5.0"": 0.059095605963686466, ""6.0"": 0.05210844855582345, ""4.0"": 0.048860896521182896, ""7.0"": 0.041381685774737983, ""2.0"": 0.037494464399940954, ""1.0"": 0.030999360330659843, ""3.0"": 0.029670816316488706}"
Power Hitter,Average Spin,7129,"{""5.0"": 0.19581989058774021, ""8.0"": 0.14069294431196522, ""4.0"": 0.11965212512273811, ""6.0"": 0.10772899424884276, ""2.0"": 0.07995511291906299, ""7.0"": 0.07672885397671483, ""9.0"": 0.0740636835460794, ""1.0"": 0.04839388413522233, ""3.0"": 0.04376490391359237, ""13.0"": 0.0370318417730397, ""14.0"": 0.03114041240005611, ""11.0"": 0.02300462898022163, ""12.0"": 0.022022724084724367}"
Power Hitter,High Spin,1452,"{""5.0"": 0.18181818181818182, ""8.0"": 0.1618457300275482, ""6.0"": 0.12741046831955924, ""9.0"": 0.10399449035812672, ""4.0"": 0.09228650137741047, ""7.0"": 0.07713498622589532, ""14.0"": 0.0709366391184573, ""2.0"": 0.05922865013774105, ""13.0"": 0.04269972451790634, ""3.0"": 0.029614325068870524, ""1.0"": 0.02203856749311295, ""12.0"": 0.01928374655647383, ""11.0"": 0.011707988980716254}"
Contact Hitter,Average Spin,89948,"{""14.0"": 0.17231641558730335, ""11.0"": 0.1336705764633943, ""13.0"": 0.13253655011395854, ""12.0"": 0.0971260214575574, ""5.0"": 0.06527322252487631, ""4.0"": 0.05622324754016343, ""6.0"": 0.05534493301462005, ""8.0"": 0.05476680193451554, ""2.0"": 0.051275779643115235, ""9.0"": 0.050908888765356604, ""1.0"": 0.046806381677691924, ""7.0"": 0.04559452999054978, ""3.0"": 0.03815665128689755}"
Contact Hitter,High Spin,21941,"{""14.0"": 0.3030399708308646, ""13.0"": 0.11836288227519257, ""11.0"": 0.08572991203682603, ""9.0"": 0.06462786563967002, ""12.0"": 0.06321498564331617, ""5.0"": 0.06175652887288638, ""8.0"": 0.05797365662458411, ""6.0"": 0.05619616243562281, ""4.0"": 0.04548562052777905, ""2.0"": 0.040153137960895126, ""7.0"": 0.03828449022378196, ""1.0"": 0.03322546830135363, ""3.0"": 0.031949318627227566}"
