hitter_archetype,pitcher_archetype,total_pitches,zone_distribution
Contact Hitter,High Spin,15218,"{""14.0"": 0.30010513865159677, ""13.0"": 0.13536601393087133, ""11.0"": 0.07872256538309896, ""9.0"": 0.06945722171113156, ""5.0"": 0.06065185963990012, ""12.0"": 0.060389013010908134, ""8.0"": 0.058943356551452226, ""6.0"": 0.052569325798396634, ""4.0"": 0.04783808647654094, ""7.0"": 0.04185832566697332, ""2.0"": 0.03798133788934157, ""1.0"": 0.02917597581811013, ""3.0"": 0.026941779471678275}"
Power Hitter,Average Spin,6836,"{""5.0"": 0.1963136337039204, ""8.0"": 0.12785254534815682, ""4.0"": 0.12068461088355764, ""6.0"": 0.10795787009947337, ""2.0"": 0.08425980105324751, ""7.0"": 0.08191925102399064, ""9.0"": 0.06787595084844938, ""1.0"": 0.04871269748390872, ""3.0"": 0.047396138092451724, ""13.0"": 0.03891164423639555, ""14.0"": 0.02764774722059684, ""11.0"": 0.025892334698654183, ""12.0"": 0.024575775307197192}"
Power Hitter,High Spin,1034,"{""5.0"": 0.20019342359767892, ""8.0"": 0.1760154738878143, ""6.0"": 0.12669245647969052, ""9.0"": 0.09574468085106383, ""4.0"": 0.08994197292069632, ""7.0"": 0.07543520309477757, ""2.0"": 0.05705996131528046, ""13.0"": 0.05029013539651837, ""14.0"": 0.04448742746615087, ""3.0"": 0.03288201160541586, ""1.0"": 0.02127659574468085, ""12.0"": 0.015473887814313346, ""11.0"": 0.014506769825918761}"
Contact Hitter,Average Spin,23243,"{""14"": 0.17308436948758765, ""11"": 0.13707352751366003, ""13"": 0.13363163102869682, ""12"": 0.0986103342941961, ""5"": 0.06195413672933787, ""6"": 0.056361054941272644, ""8"": 0.05593081788065224, ""4"": 0.05386567998967431, ""9"": 0.04986447532590457, ""2"": 0.04947726197134621, ""1"": 0.04685281590156176, ""7"": 0.046121412898507075, ""3"": 0.03717248203760272}"
Contact Hitter,High Spin,7177,"{""14"": 0.3101574474014212, ""13"": 0.1274905949561098, ""11"": 0.08067437648042358, ""9"": 0.06423296642050996, ""8"": 0.0636756304862756, ""12"": 0.06116761878222098, ""5"": 0.059356276995959315, ""6"": 0.0540615856207329, ""4"": 0.04751288839347917, ""7"": 0.039710185314198135, ""2"": 0.036923505643026336, ""1"": 0.031210812317124147, ""3"": 0.023826111188518878}"
Power Hitter,Average Spin,1972,"{""5"": 0.19878296146044624, ""8"": 0.1389452332657201, ""4"": 0.11967545638945233, ""6"": 0.09787018255578094, ""7"": 0.08164300202839757, ""2"": 0.07403651115618662, ""9"": 0.07099391480730223, ""1"": 0.04766734279918864, ""3"": 0.04513184584178499, ""13"": 0.03803245436105477, ""11"": 0.03296146044624747, ""14"": 0.027890466531440162, ""12"": 0.02636916835699797}"
Power Hitter,High Spin,512,"{""5"": 0.21484375, ""8"": 0.16015625, ""6"": 0.123046875, ""4"": 0.091796875, ""9"": 0.08984375, ""7"": 0.076171875, ""2"": 0.05078125, ""14"": 0.048828125, ""13"": 0.04296875, ""1"": 0.037109375, ""3"": 0.03515625, ""12"": 0.015625, ""11"": 0.013671875}"
Contact Hitter,Average Spin,709,"{""14"": 0.16502115655853314, ""11"": 0.13540197461212977, ""13"": 0.11424541607898449, ""12"": 0.11283497884344147, ""6"": 0.07052186177715092, ""8"": 0.06488011283497884, ""5"": 0.06064880112834979, ""4"": 0.0535966149506347, ""7"": 0.05077574047954866, ""3"": 0.04936530324400564, ""9"": 0.0465444287729196, ""2"": 0.039492242595204514, ""1"": 0.036671368124118475}"
Contact Hitter,High Spin,332,"{""14"": 0.37349397590361444, ""13"": 0.11746987951807229, ""5"": 0.06325301204819277, ""6"": 0.060240963855421686, ""8"": 0.060240963855421686, ""9"": 0.0572289156626506, ""11"": 0.05421686746987952, ""12"": 0.04819277108433735, ""7"": 0.04819277108433735, ""4"": 0.0391566265060241, ""2"": 0.03313253012048193, ""3"": 0.02710843373493976, ""1"": 0.018072289156626505}"
Power Hitter,Average Spin,59,"{""5"": 0.1864406779661017, ""9"": 0.11864406779661017, ""14"": 0.11864406779661017, ""8"": 0.1016949152542373, ""6"": 0.0847457627118644, ""2"": 0.0847457627118644, ""4"": 0.06779661016949153, ""11"": 0.06779661016949153, ""7"": 0.05084745762711865, ""3"": 0.03389830508474576, ""13"": 0.03389830508474576, ""1"": 0.03389830508474576, ""12"": 0.01694915254237288}"
Power Hitter,High Spin,20,"{""6"": 0.3, ""8"": 0.2, ""9"": 0.15, ""5"": 0.1, ""3"": 0.05, ""7"": 0.05, ""14"": 0.05, ""2"": 0.05, ""13"": 0.05}"
Contact Hitter,Average Spin,94020,"{""14.0"": 0.17779456032676333, ""13.0"": 0.13572591024645528, ""11.0"": 0.12923744588514355, ""12.0"": 0.0956250731281844, ""5.0"": 0.06499101188133556, ""4.0"": 0.05630072436790656, ""6.0"": 0.0559390722559646, ""8.0"": 0.055566783317200816, ""9.0"": 0.050929126822886195, ""2.0"": 0.049525065682405625, ""7.0"": 0.04636592811632434, ""1.0"": 0.04360035314265048, ""3.0"": 0.038398944826779274}"
