pitch_type,avg_velocity,avg_spin_rate,avg_horizontal_break,avg_vertical_break,avg_plate_x,avg_plate_z,zone_distribution
CH,84.49089607787003,1791.9058992805756,-0.3727712567993129,0.5776295448038935,-0.09224448897795591,1.8599513312338964,"{13.0: 0.2393358144861151, 14.0: 0.2267391926710564, 8.0: 0.08617234468937876, 11.0: 0.07643859146865159, 7.0: 0.06813627254509018, 9.0: 0.06813627254509018, 4.0: 0.05038648726023476, 5.0: 0.04809619238476954, 12.0: 0.04380188949327226, 6.0: 0.03721729172630976, 1.0: 0.023475522473518466, 2.0: 0.017749785284855425, 3.0: 0.0143143429716576}"
CS,72.22142857142858,2328.6153846153848,0.16285714285714284,-0.5942857142857143,-0.43642857142857144,2.5307142857142857,"{14.0: 0.21428571428571427, 13.0: 0.21428571428571427, 11.0: 0.14285714285714285, 5.0: 0.14285714285714285, 8.0: 0.07142857142857142, 9.0: 0.07142857142857142, 4.0: 0.07142857142857142, 12.0: 0.07142857142857142}"
CU,78.56972694895133,2563.630608974359,0.3032686980609418,-0.7217411950929956,0.10542144835773644,1.821218836565097,"{14.0: 0.3007518796992481, 13.0: 0.1669964384645825, 11.0: 0.07558369608231104, 8.0: 0.07479224376731301, 5.0: 0.06015037593984962, 9.0: 0.054610209734863475, 7.0: 0.05104867431737238, 12.0: 0.04986149584487535, 4.0: 0.048278591214879304, 6.0: 0.04709141274238227, 2.0: 0.02928373565492679, 1.0: 0.02176493866244559, 3.0: 0.019786307874950535}"
FC,88.11644736842106,2358.4727722772277,0.09553453947368422,0.6718873355263157,0.16619243421052632,2.3323396381578947,"{14.0: 0.22039473684210525, 13.0: 0.1069078947368421, 12.0: 0.09703947368421052, 11.0: 0.09539473684210527, 6.0: 0.07154605263157894, 5.0: 0.07072368421052631, 9.0: 0.05879934210526316, 4.0: 0.05592105263157895, 2.0: 0.05180921052631579, 3.0: 0.05098684210526316, 8.0: 0.04481907894736842, 1.0: 0.04111842105263158, 7.0: 0.03453947368421053}"
FF,93.40861890902262,2312.232987747408,-0.3050436578725002,1.3235330015960944,0.024546990892873908,2.777562670171815,"{11.0: 0.16721434607079147, 12.0: 0.1454323537695991, 14.0: 0.09623509529621632, 5.0: 0.0876912965918693, 2.0: 0.07933527368322223, 6.0: 0.0662848558820768, 3.0: 0.06036991831752887, 4.0: 0.060088254623978966, 1.0: 0.059994366726129005, 13.0: 0.05980659093042907, 8.0: 0.04638062153788377, 9.0: 0.04018402027978594, 7.0: 0.030983006290489157}"
FS,85.33800322061192,1454.336569579288,-0.7879066022544283,0.37521739130434784,-0.1837037037037037,1.7925442834138487,"{14.0: 0.23993558776167473, 13.0: 0.21578099838969403, 11.0: 0.10466988727858294, 7.0: 0.09017713365539452, 8.0: 0.0853462157809984, 4.0: 0.07407407407407407, 9.0: 0.06280193236714976, 5.0: 0.043478260869565216, 1.0: 0.030595813204508857, 2.0: 0.024154589371980676, 6.0: 0.01610305958132045, 3.0: 0.008051529790660225, 12.0: 0.004830917874396135}"
KC,81.37259100642399,2513.120559741658,0.4546895074946467,-0.866220556745182,0.11706638115631691,1.8022162740899357,"{14.0: 0.2815845824411135, 13.0: 0.15524625267665954, 8.0: 0.08886509635974305, 11.0: 0.07922912205567452, 9.0: 0.07387580299785867, 5.0: 0.06209850107066381, 7.0: 0.05246252676659529, 12.0: 0.042826552462526764, 4.0: 0.042826552462526764, 6.0: 0.042826552462526764, 2.0: 0.028907922912205567, 3.0: 0.02462526766595289, 1.0: 0.02462526766595289}"
PO,89.93333333333334,2023.6666666666667,0.016666666666666607,1.2833333333333334,-0.8366666666666668,4.14,"{11.0: 0.6666666666666666, 12.0: 0.3333333333333333}"
SI,92.64852593070799,2161.783953287197,-0.5365138799225306,0.7415493867010975,-0.11248547449967722,2.3509296320206587,"{13.0: 0.15041962556488056, 14.0: 0.12158381751667742, 11.0: 0.11706477297180977, 5.0: 0.08327953518398967, 12.0: 0.08241876479449108, 4.0: 0.07725414245749947, 8.0: 0.07316548310738111, 7.0: 0.0667097051861416, 6.0: 0.058102001291155586, 9.0: 0.05143103077254142, 1.0: 0.045836023240800515, 2.0: 0.040025823111684955, 3.0: 0.03270927480094685}"
SL,84.28700270374661,2423.6377036462372,0.27078794901506376,0.08419660100424874,0.26054268057164925,1.8332078022402474,"{14.0: 0.34260332174584784, 13.0: 0.13344920818848977, 9.0: 0.08014677481653149, 8.0: 0.06759366550791812, 5.0: 0.06566241792197759, 6.0: 0.05504055619930475, 11.0: 0.04866743916570104, 7.0: 0.04692931633835458, 4.0: 0.04268057164928544, 12.0: 0.04132869833912708, 2.0: 0.03205870992661259, 1.0: 0.02394747006566242, 3.0: 0.019891850135187333}"
