batter_id,pitcher_id,total_pitches,avg_velocity,avg_spin_rate,avg_horizontal_break,avg_vertical_break,avg_plate_x,avg_plate_z,total_batted_balls,most_common_pitch,zone_distribution
405395,518617,4,88.375,2452.25,-0.08999999999999997,0.355,-0.185,1.8125,1,FF,"{4.0: 0.25, 13.0: 0.25, 14.0: 0.25, 3.0: 0.25}"
405395,519008,6,87.10000000000001,1897.0,1.3183333333333334,0.25666666666666665,-0.014999999999999977,1.7433333333333334,1,SI,"{5.0: 0.3333333333333333, 13.0: 0.3333333333333333, 6.0: 0.16666666666666666, 14.0: 0.16666666666666666}"
405395,521230,2,95.6,2356.5,-0.56,1.57,0.44499999999999995,2.52,1,FF,"{8.0: 0.5, 12.0: 0.5}"
405395,572143,5,91.12,2386.0,-0.5900000000000001,1.348,0.050000000000000044,2.852,2,FF,"{2.0: 0.2, 9.0: 0.2, 14.0: 0.2, 4.0: 0.2, 11.0: 0.2}"
405395,593423,10,94.22999999999999,2406.7,-0.725,1.111,-0.065,2.066,2,FF,"{14.0: 0.3, 13.0: 0.3, 11.0: 0.2, 6.0: 0.1, 9.0: 0.1}"
405395,594835,7,82.37142857142858,2249.8571428571427,-0.17857142857142858,0.06285714285714292,-0.39428571428571424,2.4457142857142857,2,CU,"{13.0: 0.2857142857142857, 12.0: 0.14285714285714285, 8.0: 0.14285714285714285, 1.0: 0.14285714285714285, 5.0: 0.14285714285714285, 11.0: 0.14285714285714285}"
405395,605135,3,89.39999999999999,2199.0,-0.7633333333333333,0.6566666666666667,0.17666666666666664,2.4366666666666665,2,SI,"{4.0: 0.3333333333333333, 12.0: 0.3333333333333333, 5.0: 0.3333333333333333}"
405395,605218,3,85.33333333333333,2440.0,0.36999999999999994,0.11333333333333336,0.41,1.01,1,CU,"{14.0: 0.6666666666666666, 8.0: 0.3333333333333333}"
405395,640455,5,84.72,1951.8,0.328,0.484,0.274,1.864,2,CH,"{14.0: 0.2, 13.0: 0.2, 9.0: 0.2, 6.0: 0.2, 7.0: 0.2}"
405395,641482,3,88.96666666666665,2275.0,0.8766666666666666,1.3433333333333335,-0.11666666666666665,2.776666666666667,1,FF,"{5.0: 0.3333333333333333, 12.0: 0.3333333333333333, 4.0: 0.3333333333333333}"
