game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,stand,p_throws,group,balls,strikes,count
631109,2020-09-01,1,Top,641771,595879,FF,93.6,1805.0,-2.07,53.51,5.84,-0.81,1.18,-0.53,5.07,11.0,,ball,,,,94.8,226.0,R,R,1,1,0,1-0
631109,2020-09-01,1,Top,641771,595879,FF,94.6,1979.0,-1.95,53.54,5.79,-0.72,1.18,0.13,2.01,8.0,field_out,hit_into_play,107.9,14.0,308.0,95.8,228.0,R,R,1,1,0,1-0
631109,2020-09-01,1,Top,641771,519203,CH,87.1,1427.0,-2.56,53.42,5.34,-0.99,0.09,-0.45,2.03,7.0,field_out,hit_into_play,72.9,43.0,243.0,88.8,240.0,L,R,2,0,0,0-0
631109,2020-09-01,1,Top,641771,592178,SL,88.0,2426.0,-2.22,53.61,5.75,0.04,0.17,0.82,2.2,6.0,,called_strike,,,,89.3,135.0,R,R,3,0,1,0-1
631109,2020-09-01,1,Top,641771,592178,SI,93.8,2039.0,-2.36,53.62,5.67,-1.24,1.13,0.54,2.45,6.0,field_out,hit_into_play,100.9,24.0,368.0,94.7,227.0,R,R,3,0,1,0-1
631109,2020-09-01,1,Top,641771,664023,SI,93.6,1839.0,-2.65,53.7,5.71,-1.29,0.86,-1.11,2.95,11.0,,ball,,,,94.6,231.0,L,R,4,1,0,1-0
631109,2020-09-01,1,Top,641771,664023,FF,94.0,2057.0,-2.34,53.71,5.67,-0.75,1.19,0.38,2.98,3.0,home_run,hit_into_play,105.7,33.0,434.0,94.8,230.0,L,R,4,1,0,1-0
631109,2020-09-01,1,Bot,452657,607732,FF,89.3,2207.0,2.56,53.96,5.65,0.56,1.22,-0.47,2.42,4.0,,called_strike,,,,89.8,136.0,R,L,5,0,1,0-1
631109,2020-09-01,1,Bot,452657,607732,FF,90.1,2236.0,2.45,53.96,5.67,0.71,1.17,-0.84,2.04,13.0,,ball,,,,90.6,140.0,R,L,5,1,1,1-1
631109,2020-09-01,1,Bot,452657,607732,CU,72.6,2625.0,2.63,54.48,5.82,-1.03,-0.48,2.04,2.96,12.0,,ball,,,,72.2,296.0,R,L,5,2,1,2-1
631109,2020-09-01,1,Bot,452657,607732,CU,73.7,2632.0,2.6,54.21,5.85,-1.16,-0.12,-0.52,1.08,13.0,,ball,,,,73.6,294.0,R,L,5,3,1,3-1
631109,2020-09-01,1,Bot,452657,607732,FC,87.5,2389.0,2.69,53.99,5.69,-0.04,0.76,-0.35,2.5,4.0,field_out,hit_into_play,92.5,47.0,291.0,88.1,158.0,R,L,5,3,1,3-1
631109,2020-09-01,1,Bot,452657,605137,FC,87.8,2366.0,2.59,53.96,5.7,0.02,0.98,-1.34,1.33,13.0,,ball,,,,88.4,140.0,R,L,6,1,0,1-0
631109,2020-09-01,1,Bot,452657,605137,FC,88.1,2352.0,2.53,53.95,5.72,0.1,1.13,-0.78,1.65,7.0,,foul,104.4,12.0,203.0,88.9,152.0,R,L,6,1,1,1-1
631109,2020-09-01,1,Bot,452657,605137,CH,84.2,1991.0,2.47,53.96,5.71,1.23,0.59,-1.42,1.0,13.0,,ball,,,,84.5,144.0,R,L,6,2,1,2-1
631109,2020-09-01,1,Bot,452657,605137,CU,72.7,2548.0,2.65,54.26,5.81,-0.88,-0.28,0.9,2.75,12.0,,called_strike,,,,72.7,298.0,R,L,6,2,2,2-2
631109,2020-09-01,1,Bot,452657,605137,CU,72.7,2628.0,2.55,54.36,5.84,-1.1,-0.48,-0.89,1.53,13.0,strikeout,swinging_strike,,,,72.2,300.0,R,L,6,2,3,2-3
631109,2020-09-01,1,Bot,452657,621028,SI,89.4,2174.0,2.57,53.94,5.67,1.15,0.68,0.57,1.59,9.0,field_out,hit_into_play,90.1,20.0,299.0,90.2,138.0,R,L,7,0,0,0-0
631109,2020-09-01,1,Bot,452657,657061,CU,71.2,2487.0,2.59,54.26,5.9,-0.97,-0.62,1.8,3.26,12.0,,ball,,,,71.3,293.0,R,L,8,1,0,1-0
631109,2020-09-01,1,Bot,452657,657061,FF,88.3,2179.0,2.57,54.01,5.66,0.63,1.19,0.33,2.82,6.0,,swinging_strike,,,,89.0,145.0,R,L,8,1,1,1-1
631109,2020-09-01,1,Bot,452657,657061,FF,89.0,2208.0,2.5,53.92,5.69,0.51,1.06,-0.1,2.91,2.0,single,hit_into_play,77.7,58.0,190.0,89.7,145.0,R,L,8,1,1,1-1
631109,2020-09-01,1,Bot,452657,570481,FF,89.5,2228.0,2.58,54.1,5.76,0.62,1.3,1.33,2.94,12.0,,ball,,,,89.8,140.0,R,L,9,1,0,1-0
631109,2020-09-01,1,Bot,452657,570481,FF,89.3,2231.0,2.65,54.2,5.74,0.72,1.19,1.04,2.89,12.0,,ball,,,,89.6,140.0,R,L,9,2,0,2-0
631109,2020-09-01,1,Bot,452657,570481,FF,88.9,2224.0,2.59,53.92,5.67,0.63,1.28,1.4,2.29,14.0,,ball,,,,89.5,131.0,R,L,9,3,0,3-0
631109,2020-09-01,1,Bot,452657,570481,FF,88.9,2262.0,2.7,54.02,5.63,0.71,1.29,0.55,1.01,14.0,walk,ball,,,,89.2,141.0,R,L,9,4,0,4-0
631109,2020-09-01,2,Top,641771,592178,SL,88.3,2506.0,-2.16,53.85,5.76,0.43,0.12,0.69,0.85,14.0,,ball,,,,89.2,115.0,R,R,10,1,0,1-0
631109,2020-09-01,2,Top,641771,592178,SL,88.9,2543.0,-2.35,53.88,5.8,0.5,0.27,0.87,1.37,14.0,,swinging_strike,,,,89.7,138.0,R,R,10,1,1,1-1
631109,2020-09-01,2,Top,641771,592178,SL,88.5,2464.0,-2.48,53.95,5.92,0.51,0.12,-0.59,2.15,4.0,,foul,62.8,47.0,174.0,88.9,111.0,R,R,10,1,2,1-2
631109,2020-09-01,2,Top,641771,592178,KC,83.9,2915.0,-2.35,53.98,5.73,0.74,-0.33,0.57,1.4,14.0,,foul,77.5,-31.0,3.0,84.3,54.0,R,R,10,1,2,1-2
631109,2020-09-01,2,Top,641771,592178,KC,84.2,,-2.49,53.91,5.79,0.87,-0.84,0.83,-0.81,14.0,,blocked_ball,,,,84.0,,R,R,10,2,2,2-2
631109,2020-09-01,2,Top,641771,592178,FF,95.4,1938.0,-2.15,53.75,5.88,-1.07,1.22,-1.51,2.76,11.0,,ball,,,,96.2,219.0,R,R,10,3,2,3-2
631109,2020-09-01,2,Top,641771,592178,SL,87.4,2499.0,-2.46,54.02,5.79,0.21,0.07,-0.45,2.65,4.0,field_out,hit_into_play,92.9,4.0,81.0,88.0,90.0,R,R,10,3,2,3-2
631109,2020-09-01,2,Top,641771,664023,SL,88.6,2366.0,-2.6,53.78,5.76,0.44,0.23,0.84,2.45,14.0,,swinging_strike,,,,89.1,138.0,L,R,11,0,1,0-1
631109,2020-09-01,2,Top,641771,664023,SL,89.2,2493.0,-2.38,53.74,5.72,0.1,0.06,1.07,0.71,14.0,,swinging_strike_blocked,,,,89.9,147.0,L,R,11,0,1,0-1
631109,2020-09-01,2,Top,641771,664023,SL,87.7,2553.0,-2.59,53.93,5.76,0.61,-0.15,-0.18,0.74,13.0,,blocked_ball,,,,88.7,86.0,L,R,11,1,1,1-1
631109,2020-09-01,2,Top,641771,664023,SL,87.1,2636.0,-2.55,54.01,5.7,0.43,-0.03,-0.98,0.4,13.0,,blocked_ball,,,,87.9,98.0,L,R,11,2,1,2-1
631109,2020-09-01,2,Top,641771,664023,KC,83.3,2884.0,-2.52,53.98,5.61,0.89,-0.87,0.04,1.21,14.0,strikeout,swinging_strike,,,,83.4,54.0,L,R,11,2,2,2-2
631109,2020-09-01,2,Top,641771,543401,KC,83.1,2765.0,-2.46,53.99,5.79,0.44,-0.39,0.06,1.1,14.0,,ball,,,,83.3,59.0,L,R,12,1,0,1-0
631109,2020-09-01,2,Top,641771,543401,SI,94.4,1901.0,-2.5,53.94,5.62,-1.21,0.78,-1.93,2.25,13.0,,ball,,,,94.9,234.0,L,R,12,2,0,2-0
631109,2020-09-01,2,Top,641771,543401,SI,95.0,1953.0,-2.26,53.78,5.83,-1.32,0.86,-2.01,3.14,11.0,,ball,,,,95.7,226.0,L,R,12,3,0,3-0
631109,2020-09-01,2,Top,641771,543401,SI,93.9,1929.0,-2.44,53.95,5.72,-1.22,0.96,-2.16,3.65,11.0,walk,ball,,,,94.6,234.0,L,R,12,4,0,4-0
631109,2020-09-01,2,Top,641771,500874,SL,87.5,2556.0,-2.32,53.86,5.81,0.17,0.18,-0.02,2.08,8.0,,called_strike,,,,88.3,125.0,R,R,13,0,1,0-1
631109,2020-09-01,2,Top,641771,500874,FF,96.7,2168.0,-2.22,53.66,5.89,-1.08,1.29,0.99,-0.36,14.0,,blocked_ball,,,,97.0,219.0,R,R,13,1,1,1-1
631109,2020-09-01,2,Top,641771,500874,SL,87.8,2463.0,-2.07,53.93,5.83,0.37,0.3,0.32,2.74,6.0,fielders_choice,hit_into_play,104.2,-10.0,15.0,88.8,135.0,R,R,13,1,1,1-1
